GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 14:54:48 BST 2017

Gene	Score	Description
MARCH7	SENP7	0.0023550096422509403	Co-expression	Ramaswamy-Golub-2001
MARCH7	SETD2	0.003021517569363109	Co-expression	Ramaswamy-Golub-2001
MARCH7	SH3GLB1	0.008862118038865762	Co-expression	Ramaswamy-Golub-2001
MARCH7	SMC3	0.003131025112161659	Co-expression	Ramaswamy-Golub-2001
MARCH7	SMCHD1	0.008653698297382497	Co-expression	Ramaswamy-Golub-2001
MARCH7	STAG2	0.002736781848660953	Co-expression	Ramaswamy-Golub-2001
MARCH7	TARDBP	0.009054466525349225	Co-expression	Ramaswamy-Golub-2001
MARCH7	TCERG1	0.002092471287155771	Co-expression	Ramaswamy-Golub-2001
MARCH7	THUMPD1	0.008510312114283956	Co-expression	Ramaswamy-Golub-2001
MARCH7	TIA1	0.008353701321731253	Co-expression	Ramaswamy-Golub-2001
MARCH7	UBR5	0.009775726929930876	Co-expression	Ramaswamy-Golub-2001
MARCH7	UPF2	0.0072898788270123515	Co-expression	Ramaswamy-Golub-2001
MARCH7	WDR11	0.008758260117027952	Co-expression	Ramaswamy-Golub-2001
MARCH7	WWP1	0.008539455941987191	Co-expression	Ramaswamy-Golub-2001
MARCH7	YTHDF3	0.009334452229779551	Co-expression	Ramaswamy-Golub-2001
MARCH7	ZCCHC10	0.004717591361653271	Co-expression	Ramaswamy-Golub-2001
MARCH7	ZCCHC8	0.00783046199184764	Co-expression	Ramaswamy-Golub-2001
MARCH7	ZFC3H1	0.003616624024353212	Co-expression	Ramaswamy-Golub-2001
MARCH7	ZMYM2	0.00665461752525903	Co-expression	Ramaswamy-Golub-2001
MARCH7	ZNF217	0.00732948666495538	Co-expression	Ramaswamy-Golub-2001
MARK3	NBR1	0.013708310171350031	Co-expression	Ramaswamy-Golub-2001
MARK3	PIGA	0.027488976896750936	Co-expression	Ramaswamy-Golub-2001
MARK3	SAT1	0.016347167413241135	Co-expression	Ramaswamy-Golub-2001
MATR3	ABL1	0.017687077001922638	Co-expression	Ramaswamy-Golub-2001
MATR3	ADAM17	0.015027551819440427	Co-expression	Ramaswamy-Golub-2001
MATR3	BTG1	0.013868778168617073	Co-expression	Ramaswamy-Golub-2001
MATR3	DDX21	0.016711470758733176	Co-expression	Ramaswamy-Golub-2001
MATR3	DDX5	0.005438186362838628	Co-expression	Ramaswamy-Golub-2001
MATR3	GNA13	0.014780830462140642	Co-expression	Ramaswamy-Golub-2001
MATR3	JMJD1C	0.01301532277972061	Co-expression	Ramaswamy-Golub-2001
MATR3	PABPC1	0.015317082843957185	Co-expression	Ramaswamy-Golub-2001
MATR3	SF3A1	0.010008524308723125	Co-expression	Ramaswamy-Golub-2001
MATR3	SRSF11	0.015335411359481695	Co-expression	Ramaswamy-Golub-2001
MATR3	STAG1	0.01669563823378027	Co-expression	Ramaswamy-Golub-2001
MED14	PLEKHA2	0.015632183215122716	Co-expression	Ramaswamy-Golub-2001
MFAP1	CTSH	0.02397077402472582	Co-expression	Ramaswamy-Golub-2001
MFAP1	EIF4A3	0.023374857246202554	Co-expression	Ramaswamy-Golub-2001
MFAP1	PUM2	0.017502177022295284	Co-expression	Ramaswamy-Golub-2001
MFN2	PJA2	0.01084659746023481	Co-expression	Ramaswamy-Golub-2001
MGEA5	SEC24B	0.013600322672576362	Co-expression	Ramaswamy-Golub-2001
MGEA5	SENP7	0.011737621453719793	Co-expression	Ramaswamy-Golub-2001
MGEA5	TCERG1	0.010631126448342028	Co-expression	Ramaswamy-Golub-2001
MON2	SENP7	0.011018738645133645	Co-expression	Ramaswamy-Golub-2001
MORC3	HNRNPA2B1	0.006462306562739576	Co-expression	Ramaswamy-Golub-2001
MORC3	MAML1	0.014990439325104105	Co-expression	Ramaswamy-Golub-2001
MORC3	RBM39	0.021662976484072907	Co-expression	Ramaswamy-Golub-2001
MORC3	SRSF4	0.009188063482595264	Co-expression	Ramaswamy-Golub-2001
MORC3	STRN3	0.014169090216173028	Co-expression	Ramaswamy-Golub-2001
MTF2	ABI1	0.012553533469658706	Co-expression	Ramaswamy-Golub-2001
MTF2	CRLF3	0.01914460998454978	Co-expression	Ramaswamy-Golub-2001
MTF2	DHX15	0.0084580269991894	Co-expression	Ramaswamy-Golub-2001
MTF2	FOXJ3	0.03195061244765087	Co-expression	Ramaswamy-Golub-2001
MTF2	NUP153	0.02161674696041179	Co-expression	Ramaswamy-Golub-2001
MTF2	PNN	0.010775939836002765	Co-expression	Ramaswamy-Golub-2001
MTF2	SETD2	0.012854361795202256	Co-expression	Ramaswamy-Golub-2001
MTF2	SMAD4	0.02555330709505118	Co-expression	Ramaswamy-Golub-2001
MTF2	SMC3	0.01290239117520609	Co-expression	Ramaswamy-Golub-2001
MTF2	SRSF10	0.018889303403070316	Co-expression	Ramaswamy-Golub-2001
MUS81	CCDC90B	0.014032601325838582	Co-expression	Ramaswamy-Golub-2001
MUS81	WDR11	0.02329615008472533	Co-expression	Ramaswamy-Golub-2001
MYOF	LIMA1	0.02985265020767528	Co-expression	Ramaswamy-Golub-2001
NBN	ENPP2	0.01715966733631467	Co-expression	Ramaswamy-Golub-2001
NBN	MFN1	0.018432569476711503	Co-expression	Ramaswamy-Golub-2001
NCOA6	PTPRA	0.017087667906886796	Co-expression	Ramaswamy-Golub-2001
NFAT5	CHUK	0.012452703990502518	Co-expression	Ramaswamy-Golub-2001
NFAT5	DENND4A	0.018200435883903306	Co-expression	Ramaswamy-Golub-2001
NFAT5	NFKB1	0.015624530914324128	Co-expression	Ramaswamy-Golub-2001
NFAT5	REL	0.019000697818990196	Co-expression	Ramaswamy-Golub-2001
NFKB1	DENND4A	0.010275634117778624	Co-expression	Ramaswamy-Golub-2001
NFKB1	LYN	0.009905750053087347	Co-expression	Ramaswamy-Golub-2001
NFKB1	PLSCR1	0.01321782408632854	Co-expression	Ramaswamy-Golub-2001
NFKB1	REL	0.011166088782154481	Co-expression	Ramaswamy-Golub-2001
NIPBL	ABI1	0.009296978729030852	Co-expression	Ramaswamy-Golub-2001
NIPBL	CRLF3	0.01417903924235502	Co-expression	Ramaswamy-Golub-2001
NIPBL	KATNBL1	0.0280658496165739	Co-expression	Ramaswamy-Golub-2001
NIPBL	KIAA1033	0.014513997554060944	Co-expression	Ramaswamy-Golub-2001
NIPBL	LUC7L3	0.03212167255420726	Co-expression	Ramaswamy-Golub-2001
NIPBL	MTF2	0.03208259069872528	Co-expression	Ramaswamy-Golub-2001
NIPBL	PDS5A	0.016334175064184896	Co-expression	Ramaswamy-Golub-2001
NIPBL	PUM2	0.014807627748163415	Co-expression	Ramaswamy-Golub-2001
NIPBL	SETD2	0.009453838603068799	Co-expression	Ramaswamy-Golub-2001
NIPBL	SMAD4	0.020588799963146658	Co-expression	Ramaswamy-Golub-2001
NIPBL	SP3	0.011458030397876474	Co-expression	Ramaswamy-Golub-2001
NIPBL	XPO1	0.010330952204309077	Co-expression	Ramaswamy-Golub-2001
NIPBL	ZNF217	0.02662160658685549	Co-expression	Ramaswamy-Golub-2001
NR3C1	MAP4K5	0.022277397752572595	Co-expression	Ramaswamy-Golub-2001
NR3C1	PNN	0.01054065875897195	Co-expression	Ramaswamy-Golub-2001
NR3C1	TOP2B	0.020816290935855884	Co-expression	Ramaswamy-Golub-2001
NUDT21	MFN1	0.03159190146672621	Co-expression	Ramaswamy-Golub-2001
NUP153	BCLAF1	0.009067141861606063	Co-expression	Ramaswamy-Golub-2001
NUP153	DDX5	0.00880134603825583	Co-expression	Ramaswamy-Golub-2001
NUP153	HNRNPA2B1	0.007616238975240661	Co-expression	Ramaswamy-Golub-2001
NUP153	HNRNPK	0.007286641414669087	Co-expression	Ramaswamy-Golub-2001
NUP153	KAT6A	0.02640256497569763	Co-expression	Ramaswamy-Golub-2001
NUP153	MORC3	0.013714462807517985	Co-expression	Ramaswamy-Golub-2001
NUP153	PHF3	0.02303122831095059	Co-expression	Ramaswamy-Golub-2001
NUP153	PNN	0.00850355003718328	Co-expression	Ramaswamy-Golub-2001
NUP153	SRSF4	0.011654477406980756	Co-expression	Ramaswamy-Golub-2001
NUP153	ZFX	0.022860913507955237	Co-expression	Ramaswamy-Golub-2001
OGT	PRPF4B	0.014428291526330836	Co-expression	Ramaswamy-Golub-2001
OGT	ZFC3H1	0.014088983022659266	Co-expression	Ramaswamy-Golub-2001
PABPC1	JMJD1C	0.030342110206370555	Co-expression	Ramaswamy-Golub-2001
PABPC1	KLF6	0.02710627904531492	Co-expression	Ramaswamy-Golub-2001
PAN2	C1orf63	0.033529279255753344	Co-expression	Ramaswamy-Golub-2001
PAN2	DHX15	0.008845870162449152	Co-expression	Ramaswamy-Golub-2001
PAN2	DMTF1	0.02206345940052018	Co-expression	Ramaswamy-Golub-2001
PAN2	TCERG1	0.00902670461466542	Co-expression	Ramaswamy-Golub-2001
PAPD7	ARGLU1	0.009452202428844956	Co-expression	Ramaswamy-Golub-2001
PAPD7	CNOT1	0.012618583202165851	Co-expression	Ramaswamy-Golub-2001
PAPD7	HNRNPR	0.006380189249291659	Co-expression	Ramaswamy-Golub-2001
PAPD7	MED14	0.027205049882169697	Co-expression	Ramaswamy-Golub-2001
PAPD7	PCF11	0.009470014666381872	Co-expression	Ramaswamy-Golub-2001
PAPD7	SEC24B	0.010718207923442594	Co-expression	Ramaswamy-Golub-2001
PAPD7	SETD2	0.011654558924557745	Co-expression	Ramaswamy-Golub-2001
PAPD7	TCERG1	0.008405422930400752	Co-expression	Ramaswamy-Golub-2001
PAPD7	UPF3A	0.013908329720614085	Co-expression	Ramaswamy-Golub-2001
PAPD7	ZFC3H1	0.016183496939735257	Co-expression	Ramaswamy-Golub-2001
PAPD7	ZNF12	0.019956955929977892	Co-expression	Ramaswamy-Golub-2001
PAPOLA	MAP4K5	0.005740914177318992	Co-expression	Ramaswamy-Golub-2001
PCF11	ABI1	0.0037886972779378894	Co-expression	Ramaswamy-Golub-2001
PCF11	ARGLU1	0.0030954811842174713	Co-expression	Ramaswamy-Golub-2001
PCF11	C1orf63	0.009140526442877847	Co-expression	Ramaswamy-Golub-2001
PCF11	CCDC90B	0.007199176289384757	Co-expression	Ramaswamy-Golub-2001
PCF11	CLK4	0.005376323579412802	Co-expression	Ramaswamy-Golub-2001
PCF11	CRLF3	0.005582643272841265	Co-expression	Ramaswamy-Golub-2001
PCF11	DIDO1	0.011128973699958572	Co-expression	Ramaswamy-Golub-2001
PCF11	DMTF1	0.006700695012169412	Co-expression	Ramaswamy-Golub-2001
PCF11	FNBP4	0.010525314692516078	Co-expression	Ramaswamy-Golub-2001
PCF11	GOLGA7	0.003075363163788592	Co-expression	Ramaswamy-Golub-2001
PCF11	KCTD12	0.009130400795279044	Co-expression	Ramaswamy-Golub-2001
PCF11	KIAA0907	0.01225544180562835	Co-expression	Ramaswamy-Golub-2001
PCF11	LRCH3	0.010621689171393351	Co-expression	Ramaswamy-Golub-2001
PCF11	LUC7L3	0.010347253131847218	Co-expression	Ramaswamy-Golub-2001
PCF11	MGEA5	0.011480280814604994	Co-expression	Ramaswamy-Golub-2001
PCF11	MON2	0.011417142216402807	Co-expression	Ramaswamy-Golub-2001
PCF11	MUS81	0.005776247518189292	Co-expression	Ramaswamy-Golub-2001
PCF11	NBN	0.006554153581269494	Co-expression	Ramaswamy-Golub-2001
PCF11	OGT	0.0078881369714969	Co-expression	Ramaswamy-Golub-2001
PCF11	PAN2	0.009581463427353073	Co-expression	Ramaswamy-Golub-2001
PCF11	PLEKHA2	0.005470072027774226	Co-expression	Ramaswamy-Golub-2001
PCF11	POT1	0.008766191259697029	Co-expression	Ramaswamy-Golub-2001
PCF11	ROCK1	0.012454644885192724	Co-expression	Ramaswamy-Golub-2001
PCF11	SENP7	0.0029513862510745586	Co-expression	Ramaswamy-Golub-2001
PCF11	SETD2	0.0036379783946997525	Co-expression	Ramaswamy-Golub-2001
PCF11	STAG2	0.0035289107880309835	Co-expression	Ramaswamy-Golub-2001
PCF11	SYK	0.008589901088915433	Co-expression	Ramaswamy-Golub-2001
PCF11	TCERG1	0.002688408606814506	Co-expression	Ramaswamy-Golub-2001
PCF11	THUMPD1	0.011335501716083782	Co-expression	Ramaswamy-Golub-2001
PCF11	TRAK1	0.010160631578629656	Co-expression	Ramaswamy-Golub-2001
PCF11	U2SURP	0.006516792005447929	Co-expression	Ramaswamy-Golub-2001
PCF11	UBR5	0.013393870998308965	Co-expression	Ramaswamy-Golub-2001
PCF11	UPF3A	0.004488681918407952	Co-expression	Ramaswamy-Golub-2001
PCF11	WDR11	0.012566995515229974	Co-expression	Ramaswamy-Golub-2001
PCF11	YTHDF3	0.011574027322071726	Co-expression	Ramaswamy-Golub-2001
PCF11	ZCCHC10	0.006341234845894332	Co-expression	Ramaswamy-Golub-2001
PCF11	ZFC3H1	0.005445507417610084	Co-expression	Ramaswamy-Golub-2001
PCF11	ZNF12	0.005956176866515026	Co-expression	Ramaswamy-Golub-2001
PCNA	HMGN4	0.019008187084634802	Co-expression	Ramaswamy-Golub-2001
PDS5A	ABI1	0.0077130715052648215	Co-expression	Ramaswamy-Golub-2001
PDS5A	LUC7L3	0.022964606453744377	Co-expression	Ramaswamy-Golub-2001
PDS5A	MCMBP	0.020329123780754646	Co-expression	Ramaswamy-Golub-2001
PDS5A	STAG2	0.007246297330673574	Co-expression	Ramaswamy-Golub-2001
PHF3	NSMAF	0.014074518181498059	Co-expression	Ramaswamy-Golub-2001
PHF3	PNN	0.010571314543638853	Co-expression	Ramaswamy-Golub-2001
PHF3	ZFX	0.03474601319774542	Co-expression	Ramaswamy-Golub-2001
PHKB	NEK4	0.028608725625003217	Co-expression	Ramaswamy-Golub-2001
PIK3CA	LIG4	0.03076861016917513	Co-expression	Ramaswamy-Golub-2001
PIK3CA	MAP4K5	0.020114458240158294	Co-expression	Ramaswamy-Golub-2001
PIK3CA	NR3C1	0.029284713367006027	Co-expression	Ramaswamy-Golub-2001
PIK3CA	PAPOLA	0.0062877606093195764	Co-expression	Ramaswamy-Golub-2001
PIK3CA	PRPF4B	0.014521723608857756	Co-expression	Ramaswamy-Golub-2001
PIK3CA	SRSF2	0.010242716543832736	Co-expression	Ramaswamy-Golub-2001
PIK3CA	TOP2B	0.017863050159904834	Co-expression	Ramaswamy-Golub-2001
PIK3R1	ITGA6	0.022965654536877086	Co-expression	Ramaswamy-Golub-2001
PIK3R1	PLOD2	0.014000887106600619	Co-expression	Ramaswamy-Golub-2001
PIK3R1	SAT1	0.014216097391640018	Co-expression	Ramaswamy-Golub-2001
PJA2	LPP	0.020310039610230746	Co-expression	Ramaswamy-Golub-2001
PJA2	ZNF451	0.009230739228078612	Co-expression	Ramaswamy-Golub-2001
PJA2	ZNF83	0.02168456829053655	Co-expression	Ramaswamy-Golub-2001
PLOD2	ITGA6	0.015491256145596665	Co-expression	Ramaswamy-Golub-2001
PLOD2	SAT1	0.010565080389893912	Co-expression	Ramaswamy-Golub-2001
PNISR	HIPK1	0.017451900086240195	Co-expression	Ramaswamy-Golub-2001
PNISR	SENP7	0.010975425639227012	Co-expression	Ramaswamy-Golub-2001
PNN	CEP57	0.009814517004244431	Co-expression	Ramaswamy-Golub-2001
PNN	JMJD1C	0.009505937392273097	Co-expression	Ramaswamy-Golub-2001
PNN	KAT6A	0.012792936360046624	Co-expression	Ramaswamy-Golub-2001
PNN	PRPF4B	0.005660001512508797	Co-expression	Ramaswamy-Golub-2001
PNN	SCAF11	0.013251585302499773	Co-expression	Ramaswamy-Golub-2001
PNRC1	BCLAF1	0.007442794803039801	Co-expression	Ramaswamy-Golub-2001
PNRC1	DDX5	0.0069575284308051695	Co-expression	Ramaswamy-Golub-2001
PNRC1	HNRNPA2B1	0.006348685940610033	Co-expression	Ramaswamy-Golub-2001
PNRC1	HNRNPK	0.00636904010322622	Co-expression	Ramaswamy-Golub-2001
PNRC1	IFITM2	0.020268254735410204	Co-expression	Ramaswamy-Golub-2001
PNRC1	MORC3	0.011638287757404853	Co-expression	Ramaswamy-Golub-2001
PNRC1	NUP153	0.013392040087651205	Co-expression	Ramaswamy-Golub-2001
PNRC1	PPP1CB	0.010134879140915109	Co-expression	Ramaswamy-Golub-2001
PNRC1	RAP1A	0.014358363678502309	Co-expression	Ramaswamy-Golub-2001
PNRC1	RBM39	0.020582316080951575	Co-expression	Ramaswamy-Golub-2001
PNRC1	STRN3	0.012063888439002973	Co-expression	Ramaswamy-Golub-2001
POT1	CCDC90B	0.022519383326828277	Co-expression	Ramaswamy-Golub-2001
POT1	GOLGA7	0.00931034696469209	Co-expression	Ramaswamy-Golub-2001
POT1	SENP7	0.008884254589772456	Co-expression	Ramaswamy-Golub-2001
POT1	STAG2	0.010343065975035547	Co-expression	Ramaswamy-Golub-2001
PPIG	BCLAF1	0.014309517828798796	Co-expression	Ramaswamy-Golub-2001
PPIG	EIF3E	0.02080879520056231	Co-expression	Ramaswamy-Golub-2001
PPIG	PNN	0.012883974672455624	Co-expression	Ramaswamy-Golub-2001
PPIG	RAD21	0.018219420421833103	Co-expression	Ramaswamy-Golub-2001
PPIG	SRSF4	0.018336777266241295	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	ABI1	0.007996842601305945	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	CRLF3	0.012785311231773702	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	DHX15	0.005694066802181496	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	FOXJ3	0.020827770680983557	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	HNRNPR	0.004345810719367214	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	LUC7L3	0.023750629985383916	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	MARCH7	0.005026060019144816	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	PDS5A	0.013828787974420073	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	PRPF39	0.010759256552210652	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	RAP1B	0.006422875993178252	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	SCAF8	0.007563120569359109	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	SENP7	0.006457301642298432	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	SETD2	0.00796293711196274	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	SMC3	0.009034220405870791	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	SMCHD1	0.02453866428392251	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	STAG2	0.007368108528395786	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	TCERG1	0.005673147839210457	Co-expression	Ramaswamy-Golub-2001
PPIP5K2	UPF2	0.02133551390766056	Co-expression	Ramaswamy-Golub-2001
PPP1CB	AMD1	0.013201433877634648	Co-expression	Ramaswamy-Golub-2001
PPP1CB	BCLAF1	0.007005152810783646	Co-expression	Ramaswamy-Golub-2001
PPP1CB	PNN	0.005748163418986911	Co-expression	Ramaswamy-Golub-2001
PPP1CB	RAP1A	0.013169053284553048	Co-expression	Ramaswamy-Golub-2001
PPP1CB	RBM39	0.018277217677847846	Co-expression	Ramaswamy-Golub-2001
PPP1CB	SSFA2	0.013813403149175708	Co-expression	Ramaswamy-Golub-2001
PPP1CB	TMED10	0.01967380397934294	Co-expression	Ramaswamy-Golub-2001
PPP1R12A	PJA2	0.022059256716550985	Co-expression	Ramaswamy-Golub-2001
PPP1R12A	SF3B1	0.028069511437889424	Co-expression	Ramaswamy-Golub-2001
PPP1R12A	SLC35A3	0.015744153429800685	Co-expression	Ramaswamy-Golub-2001
PPP1R12A	ZNF451	0.0173560056553163	Co-expression	Ramaswamy-Golub-2001
PPP1R12B	ADAMTS1	0.0178952987721475	Co-expression	Ramaswamy-Golub-2001
PPP1R12B	CRISPLD2	0.012976282329992017	Co-expression	Ramaswamy-Golub-2001
PPP1R12B	SORBS1	0.0171387548429926	Co-expression	Ramaswamy-Golub-2001
PPP2R5E	DDX5	0.013967048254641777	Co-expression	Ramaswamy-Golub-2001
PPP2R5E	HNRNPA2B1	0.012861389127910596	Co-expression	Ramaswamy-Golub-2001
PPP2R5E	HNRNPK	0.011851192259552288	Co-expression	Ramaswamy-Golub-2001
PPP2R5E	SRSF4	0.018435379892222922	Co-expression	Ramaswamy-Golub-2001
PPP4C	AKR1B1	0.019693871536509876	Co-expression	Ramaswamy-Golub-2001
PPP4C	ATM	0.01839093728560659	Co-expression	Ramaswamy-Golub-2001
PPP4C	PPFIA1	0.018456238040493667	Co-expression	Ramaswamy-Golub-2001
PPWD1	ABI1	0.013744767937210857	Co-expression	Ramaswamy-Golub-2001
PPWD1	HNRNPA2B1	0.011853085278840134	Co-expression	Ramaswamy-Golub-2001
PPWD1	PNN	0.012143151990291388	Co-expression	Ramaswamy-Golub-2001
PPWD1	SCAF8	0.01394634149615687	Co-expression	Ramaswamy-Golub-2001
PPWD1	SEC24B	0.01274719852970703	Co-expression	Ramaswamy-Golub-2001
PPWD1	SETD2	0.014099888262958637	Co-expression	Ramaswamy-Golub-2001
PPWD1	TCERG1	0.009780847657088535	Co-expression	Ramaswamy-Golub-2001
PRDX4	HEXB	0.012936664787575537	Co-expression	Ramaswamy-Golub-2001
PRDX4	PLOD2	0.008681097260759234	Co-expression	Ramaswamy-Golub-2001
PRDX4	PRPSAP1	0.012089698456593329	Co-expression	Ramaswamy-Golub-2001
PRDX4	SAT1	0.009541887290689985	Co-expression	Ramaswamy-Golub-2001
PRPF3	SNRNP200	0.03659203695549395	Co-expression	Ramaswamy-Golub-2001
PRPF3	USP3	0.027420437435590805	Co-expression	Ramaswamy-Golub-2001
PRPF39	ARGLU1	0.005033877295992067	Co-expression	Ramaswamy-Golub-2001
PRPF39	CLK4	0.008832631319767258	Co-expression	Ramaswamy-Golub-2001
PRPF39	FNBP4	0.016175148504707783	Co-expression	Ramaswamy-Golub-2001
PRPF39	HIPK1	0.00752103550282648	Co-expression	Ramaswamy-Golub-2001
PRPF39	KIAA0947	0.02071435773458586	Co-expression	Ramaswamy-Golub-2001
PRPF39	KIF3A	0.017011117726375286	Co-expression	Ramaswamy-Golub-2001
PRPF39	LUC7L3	0.018310787392409645	Co-expression	Ramaswamy-Golub-2001
PRPF39	MARCH7	0.003787002553390891	Co-expression	Ramaswamy-Golub-2001
PRPF39	PCF11	0.004987266063041879	Co-expression	Ramaswamy-Golub-2001
PRPF39	PPWD1	0.01882742250462738	Co-expression	Ramaswamy-Golub-2001
PRPF39	ROCK1	0.02145637083216009	Co-expression	Ramaswamy-Golub-2001
PRPF39	SCAF8	0.006105046724078293	Co-expression	Ramaswamy-Golub-2001
PRPF39	SEC24B	0.005930297623680719	Co-expression	Ramaswamy-Golub-2001
PRPF39	SENP7	0.004955661504353913	Co-expression	Ramaswamy-Golub-2001
PRPF39	SMCHD1	0.018918696312258794	Co-expression	Ramaswamy-Golub-2001
PRPF39	TCERG1	0.004774981353265518	Co-expression	Ramaswamy-Golub-2001
PRPF39	U2SURP	0.011172286705865205	Co-expression	Ramaswamy-Golub-2001
PRPF39	UBR5	0.021787453824134564	Co-expression	Ramaswamy-Golub-2001
PRPF39	WWP1	0.019871111451759883	Co-expression	Ramaswamy-Golub-2001
PRPF39	YTHDF3	0.019786172724397304	Co-expression	Ramaswamy-Golub-2001
PRPF39	ZBTB5	0.013811620113920306	Co-expression	Ramaswamy-Golub-2001
PRPF39	ZNF217	0.016283286099337494	Co-expression	Ramaswamy-Golub-2001
PRPF40A	DHX15	0.009805311340728784	Co-expression	Ramaswamy-Golub-2001
PRPF40A	HIPK1	0.01723410452947344	Co-expression	Ramaswamy-Golub-2001
PRPF40A	HNRNPR	0.007194549843408204	Co-expression	Ramaswamy-Golub-2001
PRPF40A	MARCH7	0.007858270484004013	Co-expression	Ramaswamy-Golub-2001
PRPF40A	RAP1B	0.011237049185958197	Co-expression	Ramaswamy-Golub-2001
PRPF40A	SCAF8	0.013267789185303405	Co-expression	Ramaswamy-Golub-2001
PRPF40A	SF3B1	0.029709306077295033	Co-expression	Ramaswamy-Golub-2001
PRPF40A	SLC25A36	0.030705070452736967	Co-expression	Ramaswamy-Golub-2001
PRPF40A	SLTM	0.03516673447009236	Co-expression	Ramaswamy-Golub-2001
PRPF40A	TCERG1	0.009803169239955695	Co-expression	Ramaswamy-Golub-2001
PRPF4B	MCMBP	0.01516501633283915	Co-expression	Ramaswamy-Golub-2001
PRPF4B	PPFIA1	0.017621345368414334	Co-expression	Ramaswamy-Golub-2001
PRPF4B	SCAF11	0.0208395920235767	Co-expression	Ramaswamy-Golub-2001
PRPS2	HMGN4	0.024111465599029453	Co-expression	Ramaswamy-Golub-2001
PRPS2	RAD21	0.017450317610102777	Co-expression	Ramaswamy-Golub-2001
PRPS2	SF3A3	0.030580594406605106	Co-expression	Ramaswamy-Golub-2001
PRPSAP1	NBR1	0.013162266622786297	Co-expression	Ramaswamy-Golub-2001
PTPN12	SSFA2	0.021911469231259955	Co-expression	Ramaswamy-Golub-2001
PUM1	BIRC2	0.010941828752139551	Co-expression	Ramaswamy-Golub-2001
PUM1	HNRNPA2B1	0.005063313551828625	Co-expression	Ramaswamy-Golub-2001
PUM1	HNRNPK	0.005033640183357414	Co-expression	Ramaswamy-Golub-2001
PUM1	MAML1	0.011587190469860701	Co-expression	Ramaswamy-Golub-2001
PUM1	MORC3	0.009353913580838244	Co-expression	Ramaswamy-Golub-2001
PUM1	NCOA6	0.01393668101631882	Co-expression	Ramaswamy-Golub-2001
PUM1	NEK4	0.013957774659811975	Co-expression	Ramaswamy-Golub-2001
PUM1	PHKB	0.01196171197893178	Co-expression	Ramaswamy-Golub-2001
PUM1	RCN2	0.008980610953632617	Co-expression	Ramaswamy-Golub-2001
PUM1	STRN3	0.009538512074823717	Co-expression	Ramaswamy-Golub-2001
PUM1	UBC	0.01073997505739325	Co-expression	Ramaswamy-Golub-2001
PUM1	YWHAE	0.005544225203343331	Co-expression	Ramaswamy-Golub-2001
PUM2	CEP57	0.018127048067807038	Co-expression	Ramaswamy-Golub-2001
PUM2	KRIT1	0.01716090303926743	Co-expression	Ramaswamy-Golub-2001
PUM2	PHF3	0.018356715430428883	Co-expression	Ramaswamy-Golub-2001
PUM2	PHKB	0.014976282439233744	Co-expression	Ramaswamy-Golub-2001
PUM2	PTPRA	0.010801566115562449	Co-expression	Ramaswamy-Golub-2001
PUM2	ZFX	0.01786941241269933	Co-expression	Ramaswamy-Golub-2001
RAD21	BCLAF1	0.006594940836219272	Co-expression	Ramaswamy-Golub-2001
RAD21	CEP57	0.014164884944344248	Co-expression	Ramaswamy-Golub-2001
RAD21	CRY1	0.015642515244523578	Co-expression	Ramaswamy-Golub-2001
RAD21	HNRNPA1	0.011677906593751126	Co-expression	Ramaswamy-Golub-2001
RAD21	KAT6A	0.017065949295303393	Co-expression	Ramaswamy-Golub-2001
RAD21	PHF3	0.015314893514746634	Co-expression	Ramaswamy-Golub-2001
RAD21	SF3A3	0.013630850358193714	Co-expression	Ramaswamy-Golub-2001
RAD21	SRSF4	0.00799773541286344	Co-expression	Ramaswamy-Golub-2001
RAD21	ZFX	0.015592805049718024	Co-expression	Ramaswamy-Golub-2001
RAP1B	CARD8	0.009808504112494173	Co-expression	Ramaswamy-Golub-2001
RAP1B	CLK4	0.0052036968473589676	Co-expression	Ramaswamy-Golub-2001
RAP1B	CPOX	0.007006027507324032	Co-expression	Ramaswamy-Golub-2001
RAP1B	HIPK1	0.004784813278801203	Co-expression	Ramaswamy-Golub-2001
RAP1B	ROCK1	0.01308091596274101	Co-expression	Ramaswamy-Golub-2001
RAP1B	SENP7	0.002971635928859924	Co-expression	Ramaswamy-Golub-2001
