,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for VCP,Hsa2 MR for VCP,Hsa3 MR for VCP,Mmu MR for Vcp,Mmu2 MR for Vcp,Rno MR for Vcp,Cfa MR for VCP,Gga MR for VCP,Dre MR for vcp,Dme MR for TER94,Dme2 MR for TER94,Cel MR for cdc-48.2,Cel MR for cdc-48.1,Sce MR for CDC48,Spo MR for cdc48
253,TRIM28,"tripartite motif containing 28",10155,3,248.4,337.4 ,89.3 ,145.9 ,278.5 ,91.9 ,9884.2 ,8792.6 ,,,,,,,
254,SNF8,"SNF8, ESCRT-II complex subunit",11267,3,248.8,304.6 ,367.7 ,224.0 ,1316.6 ,2524.3 ,8766.9 ,893.1 ,,2499.8 ,5628.5 ,10628.0 ,4786.0 ,1887.9 ,907.2 
255,MAP7D1,"MAP7 domain containing 1",55700,3,249.2,10177.0 ,3279.9 ,342.5 ,5953.6 ,2414.2 ,1986.3 ,3861.3 ,,,,,,,
256,TRPC4AP,"transient receptor potential cation channel, subfamily C, member 4 associated protein",26133,3,249.8,63.0 ,923.2 ,18831.6 ,6348.5 ,95.1 ,6790.9 ,3433.8 ,3081.1 ,,,,,,
257,POLR2E,"polymerase (RNA) II (DNA directed) polypeptide E, 25kDa",5434,3,250.2,1291.7 ,284.2 ,954.3 ,1545.8 ,3776.1 ,875.6 ,561.1 ,399.5 ,3309.9 ,3025.5 ,,,4114.8 ,3187.6 
258,SDF2L1,"stromal cell-derived factor 2-like 1",23753,3,250.8,1205.0 ,931.6 ,1468.3 ,4174.4 ,3028.4 ,3778.7 ,6026.7 ,,,,,,,
259,NUP188,"nucleoporin 188kDa",23511,3,254.6,79.9 ,225.2 ,2899.5 ,2442.4 ,1275.6 ,4094.7 ,635.2 ,819.5 ,1111.1 ,2098.6 ,,,,
260,PSMB3,"proteasome (prosome, macropain) subunit, beta type, 3",5691,3,256.1,110.0 ,598.1 ,313.4 ,1350.8 ,926.4 ,4127.9 ,232.4 ,5.1 ,80.6 ,43.5 ,1169.5 ,1350.1 ,27.6 ,126.2 
261,DHX16,"DEAH (Asp-Glu-Ala-His) box polypeptide 16",8449,3,257.8,,310.5 ,1586.8 ,2867.6 ,268.6 ,7458.7 ,,2063.5 ,678.4 ,1428.2 ,149.0 ,126.9 ,1634.9 ,857.6 
262,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",293,3,259.2,,3409.0 ,,,,4196.6 ,447.1 ,,7235.0 ,3569.2 ,506.6 4603.8 4426.0 12302.2 ,344.8 6464.8 6166.0 10535.4 ,,
263,XPNPEP1,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble",7511,2,259.9,169.5 ,907.9 ,248.1 ,78.0 ,217.2 ,2427.2 ,2997.0 ,1624.6 ,492.8 ,1498.7 ,1060.8 1784.3 ,901.2 1493.6 ,360.5 ,2769.7 
264,ANKLE2,"ankyrin repeat and LEM domain containing 2",23141,3,262.9,497.0 ,2645.6 ,2563.3 ,13450.9 ,643.1 ,6252.4 ,6347.5 ,,,,,,,
265,MRPS2,"mitochondrial ribosomal protein S2",51116,3,267.2,2792.0 ,525.6 ,3421.6 ,1881.0 ,1106.5 ,4312.7 ,1701.2 ,3154.0 ,3734.6 ,8084.6 ,4437.8 ,4119.7 ,,
266,ACO1,"aconitase 1, soluble",48,3,269.2,204.1 ,365.3 ,1138.4 ,101.6 ,368.4 ,2146.4 ,1074.7 ,5804.3 ,2071.5 292.2 ,4761.2 318.4 ,1353.5 ,3099.9 ,,
267,TLN1,"talin 1",7094,3,269.5,108.2 ,116.3 ,860.0 ,470.0 ,637.2 ,,1527.2 ,,,,,,,
268,GALNT2,"polypeptide N-acetylgalactosaminyltransferase 2",2590,3,271.0,285.2 ,184.5 ,327.7 ,1443.0 ,3118.7 ,,2429.4 ,3239.3 ,8535.4 ,11938.3 ,2617.0 ,1010.0 ,,
269,DNPEP,"aspartyl aminopeptidase",23549,3,271.5,1460.1 ,1921.5 ,416.6 ,1312.7 ,1576.4 ,1999.5 ,1297.5 ,2240.3 ,,,86.2 ,689.0 ,56.2 ,461.1 
270,UNC13B,"unc-13 homolog B (C. elegans)",10497,3,271.7,230.3 ,1416.0 ,11066.8 ,15453.3 ,6123.1 ,,,,,,,,,
271,RPA1,"replication protein A1, 70kDa",6117,3,271.9,1220.1 ,1055.2 ,1052.2 ,1543.8 ,2571.3 ,,1134.0 ,884.6 ,113.7 ,184.2 ,,,387.6 ,551.2 
272,TUFM,"Tu translation elongation factor, mitochondrial",7284,3,272.0,262.2 ,178.9 ,231.2 ,114.9 ,868.7 ,2777.2 ,,384.8 ,1416.0 ,4326.3 ,314.2 ,400.6 ,260.0 ,375.2 
273,SMU1,"smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)",55234,3,274.2,33.8 ,5449.2 ,370.5 ,4347.9 ,923.1 ,1982.1 ,482.4 ,236.1 ,1477.4 ,3806.6 ,936.9 ,1125.6 ,,
274,CD2BP2,"CD2 (cytoplasmic tail) binding protein 2",10421,3,274.9,687.4 ,565.4 ,1068.5 ,2234.1 ,501.0 ,5810.1 ,,2594.2 ,2012.4 ,5878.5 ,3032.6 ,1422.9 ,,
275,NEU1,"sialidase 1 (lysosomal sialidase)",4758,3,275.1,,610.5 ,5848.1 ,2784.7 ,3740.7 ,9808.5 ,,,,,,,,
276,SSRP1,"structure specific recognition protein 1",6749,3,275.7,428.9 ,137.5 ,174.6 ,269.4 ,121.6 ,1345.2 ,1796.4 ,,593.3 ,717.0 ,1322.6 1890.9 ,2260.4 1581.5 ,,
277,NOP9,"NOP9 nucleolar protein",161424,3,276.8,318.6 ,41.0 ,513.3 ,1543.8 ,1530.1 ,1359.8 ,,,2306.7 ,3978.6 ,,,2886.7 ,3503.5 
278,TM9SF4,"transmembrane 9 superfamily protein member 4",9777,3,278.4,455.8 ,1232.3 ,1188.9 ,2028.1 ,327.7 ,6910.9 ,2047.1 ,3725.9 ,868.8 ,548.0 ,1237.4 ,330.0 ,,
279,SND1,"staphylococcal nuclease and tudor domain containing 1",27044,3,278.9,33.1 ,122.7 ,341.7 ,328.7 ,30.4 ,1596.0 ,,1648.4 ,213.7 ,400.0 ,755.0 ,945.9 ,,2891.3 
280,CHTF8,"CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)",54921,3,279.4,120.9 ,519.9 ,484.8 ,282.1 ,1232.9 ,5806.8 ,3320.0 ,3062.2 ,3281.2 ,2616.3 ,,,,
281,RHOA,"ras homolog family member A",387,3,279.4,255.7 ,348.5 ,1051.9 ,89.7 ,472.2 ,8826.4 ,158.2 ,520.1 ,,,,,86.5 ,797.2 1022.4 
282,MCRS1,"microspherule protein 1",10445,3,279.6,1147.7 ,1157.9 ,395.0 ,3618.2 ,1995.6 ,5670.8 ,683.5 ,2007.5 ,4176.8 ,2836.4 ,6831.4 ,2583.5 ,,
283,ZBTB5,"zinc finger and BTB domain containing 5",9925,3,279.9,1807.1 ,7688.3 ,8310.8 ,8656.6 ,1004.3 ,3956.1 ,4535.3 ,,,,,,,
284,RBM23,"RNA binding motif protein 23",55147,3,282.8,540.3 ,8017.6 ,,,,6418.6 ,,,,,,,,
285,PSMB5,"proteasome (prosome, macropain) subunit, beta type, 5",5693,3,283.6,420.5 ,207.0 ,47.0 ,281.9 ,2932.0 ,,,38.9 ,129.8 ,156.5 ,663.7 ,863.3 ,,
286,ABCF3,"ATP-binding cassette, sub-family F (GCN20), member 3",55324,3,284.0,108.7 ,1621.4 ,264.7 ,13163.9 ,71.4 ,665.5 ,6356.3 ,,585.8 ,947.7 ,99.7 ,351.2 ,867.2 ,1267.8 
287,L3MBTL2,"l(3)mbt-like 2 (Drosophila)",83746,2,288.4,905.2 ,383.4 ,3338.2 ,4673.3 ,632.5 ,2708.5 ,5986.3 ,6479.6 ,,,2055.9 2493.6 ,1230.6 2063.8 ,,
288,SLC35B1,"solute carrier family 35, member B1",10237,3,288.8,405.8 ,401.7 ,149.2 ,1979.6 ,1251.6 ,1815.5 ,5452.3 ,,,3991.7 ,2389.1 ,2119.2 ,3443.0 ,4585.9 
289,HES7,"hes family bHLH transcription factor 7",84667,1,289.3,16399.0 ,10862.4 ,19613.9 ,,,14221.6 ,,,,,,,,
290,CLIC1,"chloride intracellular channel 1",1192,3,289.8,,1526.3 ,1289.0 ,705.4 ,5445.5 ,,,4250.1 ,,,,,,
291,PRPF6,"pre-mRNA processing factor 6",24148,3,289.9,124.2 ,1481.8 ,102.0 ,3027.0 ,78.7 ,5914.1 ,173.3 ,338.7 ,565.6 ,928.9 ,462.5 ,795.9 ,,1612.8 
292,APTX,"aprataxin",54840,3,291.0,673.6 ,1847.8 ,2939.3 ,13279.3 ,8077.6 ,108.2 ,188.5 ,,,,,,,
293,PSAP,"prosaposin",5660,3,291.7,296.7 ,584.2 ,618.6 ,487.6 ,62.6 ,7570.9 ,984.8 ,822.3 ,312.0 ,29.3 ,,,,
294,AP1M1,"adaptor-related protein complex 1, mu 1 subunit",8907,3,291.8,647.5 ,1112.7 ,1193.2 ,9425.7 ,1913.1 ,927.6 ,1138.3 ,,601.0 ,4189.3 ,1565.9 ,5560.2 ,2327.4 ,1048.1 
295,SAFB,"scaffold attachment factor B",6294,3,292.2,284.3 ,192.7 ,575.6 ,629.5 ,244.9 ,1611.8 ,12364.7 8104.3 ,1274.8 ,,,,,,
296,BAG6,"BCL2-associated athanogene 6",7917,3,293.6,,2453.8 ,269.4 ,908.8 ,521.8 ,3064.9 ,,436.1 ,,,,,,
297,NCBP1,"nuclear cap binding protein subunit 1, 80kDa",4686,3,293.9,952.0 ,2892.5 ,444.7 ,318.9 ,528.7 ,528.2 ,486.9 ,,277.4 ,2773.5 ,1375.7 ,706.0 ,,
298,ALAS1,"5'-aminolevulinate synthase 1",211,3,294.7,214.3 ,3878.5 ,877.4 ,11022.3 ,2088.4 ,1257.8 ,1052.2 ,1361.9 ,,,,,,
299,TMEM115,"transmembrane protein 115",11070,3,294.8,2955.8 ,1236.4 ,,,2050.0 ,4745.3 ,,3480.8 ,,,,,2244.1 ,
300,BCR,"breakpoint cluster region",613,3,296.2,4296.7 ,1604.7 ,5551.5 ,11486.0 ,2328.3 ,9622.9 ,5033.6 ,,,,,,,
301,IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",3418,3,297.2,1675.0 ,5563.8 ,753.3 ,99.8 ,3987.7 ,1347.0 ,1342.5 ,283.6 ,,,2610.2 ,4400.7 ,1160.5 ,
302,BABAM1,"BRISC and BRCA1 A complex member 1",29086,3,297.9,445.8 ,351.3 ,1414.3 ,4693.1 ,5040.6 ,3174.8 ,3872.2 ,,,,,,,
303,VARS,"valyl-tRNA synthetase",7407,3,300.2,,224.9 ,1295.0 ,119.0 ,2903.8 ,1090.1 ,,269.0 ,651.5 ,1086.0 ,207.9 ,256.6 ,1297.4 ,1620.3 
304,PSMD4,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4",5710,3,304.3,829.7 ,356.0 ,21.0 ,1370.8 ,208.6 ,,,87.6 ,18.2 ,15.5 ,609.8 ,572.6 ,27.5 ,1536.0 
305,RNASEK,"ribonuclease, RNase K",440400,3,307.5,1539.3 ,5716.6 ,10150.6 ,9766.0 ,3718.1 ,2083.3 ,,3886.4 830.0 ,,,,,,
306,MRPL38,"mitochondrial ribosomal protein L38",64978,3,308.9,4453.3 ,629.6 ,2571.1 ,1467.6 ,3039.0 ,2870.3 ,891.5 ,144.7 ,2788.3 ,4279.3 ,,,,
307,TMEM109,"transmembrane protein 109",79073,3,309.7,1411.0 ,888.3 ,2555.9 ,11589.8 ,5416.4 ,7459.6 ,,,,,,,,
308,HYAL2,"hyaluronoglucosaminidase 2",8692,3,310.1,8394.7 ,603.5 ,2994.8 ,2140.3 ,8531.3 ,3204.6 ,9822.0 ,,,,,,,
309,KAT5,"K(lysine) acetyltransferase 5",10524,3,311.5,820.7 ,1051.1 ,593.7 ,7663.7 ,753.9 ,4706.5 ,,6204.0 ,1518.0 ,5686.9 ,2879.2 ,1445.4 ,2210.4 ,3692.6 
310,FAM32A,"family with sequence similarity 32, member A",26017,3,313.0,361.6 ,503.4 ,2971.2 ,8685.5 ,4684.7 ,,481.9 ,3104.4 ,5939.5 ,10665.0 ,,,,
311,AP2A2,"adaptor-related protein complex 2, alpha 2 subunit",161,3,313.1,1916.2 ,1225.9 ,1000.5 ,166.1 ,281.1 ,3677.8 ,885.8 ,,2880.3 ,874.6 ,2471.2 ,2380.1 ,,1570.7 
312,RNPEP,"arginyl aminopeptidase (aminopeptidase B)",6051,3,313.9,622.2 ,2905.3 ,1850.5 ,4418.3 ,4082.8 ,6234.6 ,3095.3 ,,,,,,,
313,CRELD2,"cysteine-rich with EGF-like domains 2",79174,3,315.1,1354.4 ,1825.3 ,942.9 ,8204.0 ,2714.2 ,,1147.9 ,,580.0 ,5685.2 ,5425.3 ,6658.9 ,,
314,SCAMP2,"secretory carrier membrane protein 2",10066,3,315.6,1851.9 ,3697.4 ,1331.4 ,6643.6 ,670.4 ,9952.9 ,501.6 ,1178.4 ,,,,,,
315,KPNB1,"karyopherin (importin) beta 1",3837,3,315.9,76.2 ,161.2 ,985.1 ,175.2 ,35.8 ,349.4 ,627.3 ,1224.9 ,1403.2 ,2617.8 ,1641.0 ,2255.4 ,1144.5 ,842.0 
316,NMT1,"N-myristoyltransferase 1",4836,3,315.9,8.9 ,41.0 ,1528.3 ,1146.7 ,1806.1 ,773.0 ,2283.2 ,1671.0 ,767.3 ,857.5 ,,,,
317,CXorf40A,"chromosome X open reading frame 40A",91966,2,317.8,9083.9 ,5635.6 ,2735.5 ,12187.7 ,8762.5 ,4833.7 ,2408.7 ,,,,,,,
318,PDAP1,"PDGFA associated protein 1",11333,2,318.4,645.6 ,751.1 ,481.5 ,704.2 ,1348.9 ,3718.4 ,4661.8 ,1310.7 ,,,,,,
319,PHB,"prohibitin",5245,3,320.5,521.0 ,133.0 ,366.4 ,1233.3 ,1122.7 ,4736.7 ,418.7 ,778.9 ,852.0 ,1232.0 ,838.6 ,1695.0 ,49.1 ,793.1 
320,SRM,"spermidine synthase",6723,3,321.9,1057.8 ,535.8 ,1375.1 ,841.7 ,1399.2 ,426.0 ,357.1 ,,4932.9 ,6550.4 ,12078.8 ,10432.1 ,1899.4 ,3645.5 
321,PTBP1,"polypyrimidine tract binding protein 1",5725,2,322.1,136.2 ,1109.0 ,241.2 ,1120.8 ,206.6 ,5519.0 ,819.8 ,3996.8 933.2 ,4168.5 ,3538.5 ,12290.9 ,7128.3 ,,
322,HN1,"hematological and neurological expressed 1",51155,3,322.1,876.9 ,400.9 ,618.3 ,3184.8 ,3333.1 ,3258.4 ,529.5 ,703.8 ,,,,,,
323,ARFGAP2,"ADP-ribosylation factor GTPase activating protein 2",84364,3,323.3,317.5 ,1069.2 ,1357.8 ,221.9 ,48.5 ,5324.4 ,9563.5 ,853.6 ,1392.0 ,1480.5 ,,,,
324,MRPS7,"mitochondrial ribosomal protein S7",51081,3,323.6,386.2 ,172.1 ,378.7 ,887.3 ,2571.3 ,3013.9 ,548.0 ,459.4 ,5790.7 ,6462.5 ,,,,
325,ALDH18A1,"aldehyde dehydrogenase 18 family, member A1",5832,3,323.8,164.4 ,1931.8 ,1408.2 ,5019.4 ,2588.2 ,697.7 ,709.9 ,832.9 ,7799.7 ,10321.0 ,2073.1 ,4792.4 ,,
326,TPI1,"triosephosphate isomerase 1",7167,3,324.6,1888.6 ,342.5 ,229.7 ,3331.7 ,,1549.6 ,171.6 ,4381.5 ,,3534.5 ,954.2 ,884.2 ,1030.9 ,302.2 
327,TCP1,"t-complex 1",6950,3,325.2,202.9 ,413.4 ,189.7 ,184.5 ,126.2 ,1727.2 ,151.3 ,69.6 ,236.0 ,858.6 ,99.7 ,81.4 ,244.9 ,635.9 
328,SMG9,"SMG9 nonsense mediated mRNA decay factor",56006,3,328.9,4559.6 ,1777.9 ,5875.2 ,3681.9 ,12893.0 ,7183.1 ,,,,,,,,
329,COMMD4,"COMM domain containing 4",54939,3,329.1,3930.3 ,2663.8 ,297.0 ,1382.0 ,7136.9 ,3072.5 ,1298.8 ,,5269.4 ,2953.8 ,,,,
330,PSMA1,"proteasome (prosome, macropain) subunit, alpha type, 1",5682,3,329.8,508.4 ,468.3 ,960.2 ,411.5 ,983.0 ,2431.7 ,149.2 ,102.6 ,6747.9 ,3088.6 ,947.7 ,989.2 ,29.5 ,589.6 
331,PRKAG1,"protein kinase, AMP-activated, gamma 1 non-catalytic subunit",5571,3,329.9,982.1 ,2975.5 ,2776.3 ,1536.5 ,2285.5 ,2310.4 ,,3302.4 ,,,7456.2 ,10211.6 ,,
332,DBNL,"drebrin-like",28988,3,330.2,249.7 ,276.8 ,988.3 ,240.9 ,856.6 ,1724.5 ,2885.8 ,3599.3 ,343.6 ,2621.5 ,1008.3 ,761.7 ,,191.9 
333,SAE1,"SUMO1 activating enzyme subunit 1",10055,3,332.8,339.9 ,136.4 ,291.0 ,280.6 ,1368.5 ,4517.3 ,,530.7 ,282.6 ,634.5 ,3180.0 ,2535.7 ,1734.2 ,4411.7 
334,ABCC1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",4363,3,334.2,1060.2 ,4890.0 ,1296.4 ,4979.2 ,4948.3 ,2676.9 ,683.0 ,,,,12656.4 7665.4 ,6088.2 5548.2 ,,
335,CDC123,"cell division cycle 123",8872,3,334.4,288.6 ,468.9 ,664.6 ,2662.3 ,3787.1 ,325.6 ,2157.0 ,2626.2 ,,,,,3602.5 ,3670.2 
336,OGDH,"oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)",4967,3,334.8,90.0 ,128.3 ,142.9 ,2083.6 ,75.0 ,,4016.0 ,,3574.6 ,8146.8 ,699.3 ,405.9 ,205.5 ,394.0 
337,SRPR,"signal recognition particle receptor (docking protein)",6734,2,335.7,56.8 ,541.0 ,249.4 ,73.8 ,103.5 ,1292.1 ,529.1 ,378.9 ,2307.1 ,3566.5 ,1351.8 ,5652.3 ,554.5 ,3683.0 
338,CLTC,"clathrin, heavy chain (Hc)",1213,3,336.8,16.9 ,238.4 ,1067.4 ,87.2 ,128.9 ,1456.2 ,155.8 ,1394.1 654.4 ,75.6 ,52.9 ,137.0 ,17.9 ,63.2 ,267.6 
339,GRPEL1,"GrpE-like 1, mitochondrial (E. coli)",80273,3,338.9,800.8 ,2635.0 ,1027.2 ,2273.4 ,1680.2 ,1894.5 ,1975.8 ,3024.7 ,3341.9 ,3884.7 ,1829.8 ,2273.6 ,1695.2 ,3599.0 
340,POR,"P450 (cytochrome) oxidoreductase",5447,3,339.7,724.4 ,858.0 ,1540.3 ,1796.4 ,1956.1 ,3781.6 ,1894.6 ,1275.2 ,1710.2 ,4820.9 ,835.3 ,330.0 ,1264.9 ,2640.5 
341,60,"&nbsp;",60,0,339.8,148.3 ,182.3 ,250.8 ,185.8 ,108.9 ,8676.9 ,131.0 ,,9135.1 10728.3 ,11553.9 10175.9 ,,,,
342,NFYC,"nuclear transcription factor Y, gamma",4802,1,340.1,6518.8 ,5447.1 ,6489.2 ,3556.0 ,2211.3 ,9937.8 ,861.8 ,,2853.4 ,5230.4 ,,,,
343,C20orf24,"chromosome 20 open reading frame 24",55969,3,340.3,1372.5 ,1026.3 ,927.9 ,4252.1 ,2353.6 ,1832.8 ,1023.6 ,299.0 ,2507.0 ,6130.4 ,4091.7 ,4772.5 ,,
344,MRPL4,"mitochondrial ribosomal protein L4",51073,3,340.4,4094.4 ,2992.9 ,767.8 ,3970.3 ,2505.8 ,3961.4 ,,1052.8 ,4859.0 ,10295.5 ,2955.0 ,3543.4 ,,
345,AKT1,"v-akt murine thymoma viral oncogene homolog 1",207,3,340.9,1331.8 ,2599.8 ,18129.8 ,2022.9 ,291.5 ,8876.7 ,5649.5 ,6011.9 ,,,2880.2 12465.8 ,1235.0 5679.9 ,,
346,PQBP1,"polyglutamine binding protein 1",10084,3,342.5,1834.2 ,2305.2 ,715.6 ,1529.1 ,5037.9 ,8573.5 ,,762.3 ,,,7459.0 6388.0 ,4383.7 7625.8 ,,
347,HNRNPC,"heterogeneous nuclear ribonucleoprotein C (C1/C2)",3183,3,342.8,733.9 ,579.6 ,3345.0 ,852.0 ,1262.0 ,2297.8 ,,,,,,,,
348,WRAP73,"WD repeat containing, antisense to TP73",49856,3,343.3,5993.7 ,3259.9 ,1966.4 ,2508.1 ,2694.9 ,12940.0 ,6801.3 ,3987.6 ,,,,,,
349,HSPA4,"heat shock 70kDa protein 4",3308,2,343.9,120.6 ,99.3 ,310.4 ,36.5 ,675.4 ,396.2 ,1895.7 ,29.7 148.8 ,62.9 ,39.2 ,79.0 ,54.5 ,539.1 ,613.8 
350,MLEC,"malectin",9761,3,344.4,144.0 ,63.1 ,751.4 ,166.4 ,866.0 ,1577.8 ,4077.1 ,,2312.3 ,2825.2 ,10301.7 ,4642.9 ,,
351,DDX41,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 41",51428,3,344.8,316.6 ,934.5 ,851.6 ,2957.7 ,1910.8 ,4337.7 ,,8960.4 ,697.5 ,3689.5 ,1303.2 ,1178.3 ,,
352,TRAPPC3,"trafficking protein particle complex 3",27095,3,345.6,171.5 ,421.4 ,943.0 ,2910.4 ,4283.1 ,5370.9 ,519.9 ,4418.8 ,2456.5 ,10695.4 ,5858.3 ,5477.8 ,2014.8 ,4443.8 
353,BLMH,"bleomycin hydrolase",642,3,347.2,1064.0 ,774.6 ,342.9 ,795.4 ,274.5 ,1634.1 ,493.3 ,54.1 ,33.8 ,4638.3 ,,,94.3 ,
354,SART1,"squamous cell carcinoma antigen recognized by T cells",9092,3,347.3,124.2 ,1938.3 ,808.7 ,2169.4 ,466.6 ,5896.3 ,,437.4 ,,,,,,
355,GMDS,"GDP-mannose 4,6-dehydratase",2762,3,348.8,2040.0 ,4788.0 ,2199.6 ,7114.4 ,9284.0 ,7841.6 ,1946.0 ,1473.0 ,2129.7 ,5259.6 ,6816.6 9785.3 ,6641.5 13945.2 ,,
356,RBM10,"RNA binding motif protein 10",8241,3,351.2,819.9 ,732.5 ,466.9 ,742.5 ,656.7 ,5806.6 ,,,2275.8 3517.7 ,6182.3 2643.4 ,,,,
357,UBE2Z,"ubiquitin-conjugating enzyme E2Z",65264,2,351.2,204.2 ,65.8 ,173.1 ,1062.9 ,149.4 ,14098.0 ,1395.2 ,,,,,,,
358,RABAC1,"Rab acceptor 1 (prenylated)",10567,3,351.7,4354.9 ,1722.2 ,1785.6 ,11999.0 ,3060.6 ,12349.1 ,,890.7 ,3664.8 ,1788.1 ,,,,
359,FAM50A,"family with sequence similarity 50, member A",9130,3,351.7,483.1 ,1440.2 ,620.8 ,1060.2 ,,,,,1398.4 ,5520.8 ,,,,3506.0 
360,EIF4A3,"eukaryotic translation initiation factor 4A3",9775,3,351.9,206.1 ,27.9 ,572.5 ,357.3 ,2088.8 ,3720.1 ,228.8 ,185.9 ,245.3 ,1849.5 ,1439.1 699.8 ,778.8 2481.8 ,3662.2 ,2745.4 
361,CYTH2,"cytohesin 2",9266,2,353.0,1051.8 ,6423.9 ,522.6 ,1214.2 ,4467.8 ,10782.6 ,,,,,,,,
362,DNTTIP1,"deoxynucleotidyltransferase, terminal, interacting protein 1",116092,3,353.3,1937.4 ,1361.2 ,1023.5 ,3337.5 ,2513.1 ,2826.0 ,2396.5 ,,,,,,,
363,DRG2,"developmentally regulated GTP binding protein 2",1819,3,353.8,1865.4 ,617.8 ,557.3 ,1111.7 ,2157.3 ,5865.9 ,868.7 ,543.6 ,2188.8 ,1002.6 ,12566.6 ,11262.6 ,3274.4 ,3491.8 
364,POTEKP,"POTE ankyrin domain family, member K, pseudogene",440915,3,354.6,232.2 ,,,,,,,,,,,,,
365,CKAP5,"cytoskeleton associated protein 5",9793,3,354.9,477.6 ,2709.2 ,1005.0 ,2205.7 ,5757.6 ,1221.2 ,2375.1 ,834.2 ,1148.6 ,656.5 ,322.7 ,164.8 ,,
366,CNPY3,"canopy FGF signaling regulator 3",10695,3,355.4,2497.1 ,4167.6 ,2038.0 ,1554.8 ,4621.7 ,5469.7 ,,1050.0 ,,,15277.9 ,12475.4 ,,
367,CNPY2,"canopy FGF signaling regulator 2",10330,3,356.2,1478.0 ,586.9 ,988.3 ,1679.1 ,2311.0 ,6825.8 ,,,,,,,,
368,PREP,"prolyl endopeptidase",5550,3,357.0,206.1 ,951.6 ,189.5 ,61.6 ,120.1 ,208.0 ,1698.7 ,,75.7 8147.7 ,33.3 2769.8 ,,,,
369,81567,"&nbsp;",81567,0,357.7,,455.0 ,588.8 ,6554.8 ,,,1038.8 ,655.0 ,89.2 ,430.5 ,,,,
370,RAN,"RAN, member RAS oncogene family",5901,3,358.8,421.4 ,523.9 ,,303.9 ,2126.3 ,,157.6 ,48.2 ,1201.3 ,871.8 ,570.4 ,322.6 ,2095.2 424.9 ,576.3 
371,TMBIM6,"transmembrane BAX inhibitor motif containing 6",7009,3,359.2,401.4 ,973.8 ,639.9 ,10246.1 ,34.2 ,10418.4 ,,,1386.8 ,2926.0 ,,,,
372,MRPL27,"mitochondrial ribosomal protein L27",51264,3,360.1,2840.2 ,821.4 ,,6406.7 ,1691.2 ,722.9 ,268.7 ,669.0 ,7016.8 ,9115.1 ,,,,
373,FKBP2,"FK506 binding protein 2, 13kDa",2286,3,360.7,3844.4 ,2752.3 ,457.9 ,2146.0 ,3857.9 ,5022.6 ,,608.9 ,7256.9 ,6452.8 ,8143.6 ,12926.8 ,1494.2 ,
374,SEC61B,"Sec61 beta subunit",10952,3,361.6,1916.4 ,1983.6 ,3474.8 ,5404.6 ,8166.9 ,3182.7 ,296.6 ,,1625.2 ,2254.3 ,,,,
375,ORMDL2,"ORMDL sphingolipid biosynthesis regulator 2",29095,3,362.1,2571.0 ,2024.7 ,2710.2 ,12423.1 ,10700.3 ,3570.5 ,758.0 ,,,,,,,
376,TRUB2,"TruB pseudouridine (psi) synthase family member 2",26995,3,363.0,623.4 ,399.1 ,4937.0 ,4574.6 ,5147.9 ,8993.9 ,2165.5 ,610.8 ,5386.0 ,8239.8 ,,,,
377,PPP1R7,"protein phosphatase 1, regulatory subunit 7",5510,3,363.3,1480.0 ,1746.3 ,1435.5 ,4952.9 ,2167.2 ,,865.9 ,1606.0 ,85.3 ,217.0 ,6811.8 8545.6 ,7558.0 4081.4 ,1588.2 ,1940.2 
378,NONO,"non-POU domain containing, octamer-binding",4841,3,364.1,172.2 ,67.3 ,821.5 ,391.5 ,128.1 ,3802.0 ,492.1 ,1544.4 ,,,,,,
379,RNF40,"ring finger protein 40, E3 ubiquitin protein ligase",9810,3,364.4,543.7 ,1001.1 ,892.6 ,10264.4 ,12427.0 ,10529.6 ,,,,3691.6 ,2241.7 ,1404.9 ,,
380,BAP1,"BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)",8314,3,365.5,708.8 ,214.7 ,242.8 ,7037.9 ,724.6 ,4642.1 ,623.0 ,,2754.1 ,2400.9 ,,,,
381,TFIP11,"tuftelin interacting protein 11",24144,3,365.5,75.7 ,111.0 ,1052.8 ,2431.8 ,886.3 ,2266.7 ,5040.8 ,733.8 ,1645.5 ,1438.0 ,1651.5 ,1038.4 ,,574.3 
382,HK1,"hexokinase 1",3098,3,366.3,318.2 ,29.1 ,1577.1 ,5253.3 ,3524.2 ,3909.5 ,591.2 ,2199.1 ,10942.6 3907.1 ,3260.9 10996.1 9190.8 ,,,420.2 1991.6 ,1144.0 
383,ADD1,"adducin 1 (alpha)",118,3,366.7,130.6 ,1231.6 ,733.4 ,2472.0 ,100.2 ,11298.6 ,2269.0 ,2387.6 ,2520.2 ,6064.6 ,12523.7 ,12660.8 ,,
