,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for OPTN,Hsa2 MR for OPTN,Hsa3 MR for OPTN,Mcc MR for OPTN,Mmu MR for Optn,Mmu2 MR for Optn,Rno MR for Optn,Cfa MR for OPTN,Gga MR for OPTN,Dre MR for optn
337,FNIP2,"folliculin interacting protein 2",57600,3,475.4,824.7 ,1792.4 ,,766.1 ,12504.3 ,4213.9 ,2053.8 ,9106.2 ,
338,DFNA5,"deafness, autosomal dominant 5",1687,3,478.0,217.5 ,1136.1 ,3684.9 ,3232.4 ,9483.2 ,,5153.5 ,3342.0 ,5885.2 
339,BMP2K,"BMP2 inducible kinase",55589,3,482.3,1998.6 ,5620.5 ,2507.8 ,3384.8 ,4483.8 ,2574.9 ,7151.0 ,1864.3 ,
340,STX7,"syntaxin 7",8417,3,485.2,760.1 ,1647.2 ,,5796.8 ,5259.8 ,1410.9 ,8796.4 ,931.2 ,
341,NDRG1,"N-myc downstream regulated 1",10397,3,485.3,689.2 ,579.9 ,,1313.7 ,3845.3 ,2010.8 ,1211.0 ,3349.8 ,1482.3 
342,MORC3,"MORC family CW-type zinc finger 3",23515,3,485.7,1077.0 ,1192.6 ,2202.1 ,8123.5 ,16564.5 ,1016.3 ,485.2 ,1690.3 ,372.5 
343,B2M,"beta-2-microglobulin",567,3,485.9,115.0 ,239.5 ,2265.6 ,2497.8 ,3434.8 ,961.6 ,,1045.9 ,297.7 
344,TNFSF10,"tumor necrosis factor (ligand) superfamily, member 10",8743,3,486.1,452.7 ,2078.1 ,1780.4 ,5399.0 ,10680.0 ,,27.8 ,9778.2 ,4983.6 
345,GYPB,"glycophorin B (MNS blood group)",2994,3,486.7,1009.6 ,15257.3 ,,,,,,,
346,ITK,"IL2-inducible T-cell kinase",3702,3,486.8,1507.8 ,3889.5 ,13028.8 ,15240.8 ,8878.4 ,,2661.6 ,11948.9 ,2173.5 
347,GZMB,"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)",3002,3,487.6,1626.4 ,3854.7 ,7838.4 ,9307.1 ,2453.1 ,6195.5 ,5394.9 3249.2 ,,
348,286440,"&nbsp;",286440,0,491.7,,,,,,,,,
349,TNFRSF9,"tumor necrosis factor receptor superfamily, member 9",3604,3,492.7,317.1 ,7843.7 ,,5484.1 ,5902.5 ,11396.9 ,8158.4 ,10960.7 ,
350,BATF2,"basic leucine zipper transcription factor, ATF-like 2",116071,3,493.1,3686.2 ,3193.0 ,,5132.9 ,4557.9 ,,6657.0 ,,
351,SYNC,"syncoilin, intermediate filament protein",81493,3,495.8,248.1 ,2088.6 ,,4702.7 ,10475.8 ,,6098.8 ,7835.2 ,
352,ARMCX2,"armadillo repeat containing, X-linked 2",9823,3,496.0,3100.9 ,1853.8 ,6166.0 ,20063.4 ,18781.7 ,8857.1 ,,,
353,PIK3IP1,"phosphoinositide-3-kinase interacting protein 1",113791,3,496.2,423.0 ,71.0 ,8390.4 ,5719.8 ,6764.7 ,10168.2 ,241.4 ,2373.2 ,1986.1 
354,IDS,"iduronate 2-sulfatase",3423,3,498.3,932.6 ,1095.9 ,6376.9 ,14557.2 ,11063.4 ,2627.3 ,1219.4 ,1891.8 ,
355,EIF5A2,"eukaryotic translation initiation factor 5A2",56648,3,498.8,1010.0 ,1194.7 ,7056.0 ,9220.9 ,14597.6 ,,11929.5 ,9404.2 ,
356,PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent, 1K",152926,3,500.2,859.2 ,2907.1 ,4103.1 ,3415.6 ,12806.2 ,276.2 ,6392.0 ,8929.1 ,
357,KIAA1191,"KIAA1191",57179,3,501.7,1724.6 ,224.2 ,2042.0 ,3904.7 ,14206.6 ,390.8 ,2150.0 ,833.3 ,4955.0 
358,IL7R,"interleukin 7 receptor",3575,3,502.5,1090.3 ,735.6 ,,13920.9 ,9953.4 ,6416.5 ,365.0 ,9572.0 ,
359,SGCB,"sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)",6443,3,504.4,385.8 ,716.5 ,7119.6 ,3258.9 ,9787.0 ,1922.7 ,7374.6 ,1542.3 ,
360,GNAI1,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1",2770,3,504.4,1309.3 ,985.5 ,,11577.0 ,8521.9 ,2198.7 ,,4075.4 ,657.5 
361,ERMAP,"erythroblast membrane-associated protein (Scianna blood group)",114625,3,505.2,684.2 ,7006.4 ,8495.8 ,425.2 ,9454.9 ,,3418.1 ,,
362,MT1X,"metallothionein 1X",4501,3,506.9,3829.2 ,8230.6 ,1112.3 ,,,,,,
363,SELM,"selenoprotein M",140606,3,507.2,2750.3 ,441.9 ,6288.9 ,11193.3 ,10112.8 ,8940.1 ,2369.0 ,,5117.6 
364,MEF2A,"myocyte enhancer factor 2A",4205,3,508.9,2395.1 ,561.4 ,3485.8 ,7809.4 ,8839.9 ,1038.9 ,700.4 ,5517.9 ,4023.7 
365,CBLB,"Cbl proto-oncogene B, E3 ubiquitin protein ligase",868,3,509.5,2184.7 ,4802.5 ,6990.3 ,11602.4 ,6682.9 ,3721.2 ,774.0 ,3695.4 ,2639.4 
366,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",9806,3,510.8,2709.5 ,4859.2 ,14706.6 ,14878.1 ,9576.5 ,10278.1 ,5439.9 ,,
367,FHL2,"four and a half LIM domains 2",2274,3,511.2,604.0 ,610.1 ,702.0 ,7396.2 ,3929.7 ,6687.7 ,10934.7 ,6216.2 ,
368,TMEM56,"transmembrane protein 56",148534,3,511.8,1800.5 ,8560.5 ,13084.1 ,640.0 ,2676.1 ,1094.3 ,4152.7 ,7111.1 ,
369,LXN,"latexin",56925,3,513.8,1400.8 ,4766.3 ,3870.7 ,13181.8 ,6995.7 ,12512.5 ,32.6 ,5099.0 ,1117.6 
370,USP12,"ubiquitin specific peptidase 12",219333,3,514.4,1414.8 ,770.3 ,2996.0 ,4133.8 ,7215.6 ,106.5 ,4022.4 ,6271.5 ,4044.7 
371,CAMK1D,"calcium/calmodulin-dependent protein kinase ID",57118,2,514.6,1698.7 ,9500.4 ,373.5 ,14367.4 ,4349.6 ,,601.9 ,,
372,SEC62,"SEC62 homolog (S. cerevisiae)",7095,3,516.8,1715.0 ,641.9 ,5492.2 ,5571.5 ,7458.1 ,678.9 ,1848.8 ,654.1 ,
373,FAM160B1,"family with sequence similarity 160, member B1",57700,3,517.7,1070.3 ,1619.3 ,,4167.5 ,5519.6 ,922.0 ,7546.7 ,10569.9 ,
374,ZEB1,"zinc finger E-box binding homeobox 1",6935,3,517.8,1918.6 ,46.3 ,6591.3 ,15763.5 ,10811.2 ,5521.0 ,6834.8 ,2275.7 ,2468.2 
375,TAPBP,"TAP binding protein (tapasin)",6892,3,518.4,952.8 ,1760.5 ,191.2 ,422.8 ,3826.0 ,2621.4 ,6013.4 ,3289.0 ,667.8 
376,JAK2,"Janus kinase 2",3717,3,519.1,743.1 ,1179.8 ,298.4 ,775.5 ,7593.4 ,1994.2 ,3026.2 ,11327.4 ,1322.9 
377,DHX58,"DEXH (Asp-Glu-X-His) box polypeptide 58",79132,3,519.5,232.8 ,583.0 ,8658.1 ,2720.5 ,1255.8 ,2385.2 ,6288.1 ,,
378,DOCK9,"dedicator of cytokinesis 9",23348,3,520.5,1581.4 ,1140.8 ,5691.0 ,11269.6 ,6796.2 ,709.7 ,2934.6 ,1072.0 ,
379,GIMAP5,"GTPase, IMAP family member 5",55340,3,521.5,1519.3 ,2313.7 ,,,,,,,
380,HK1,"hexokinase 1",3098,3,521.6,1011.8 ,3691.5 ,317.4 ,898.5 ,12793.0 ,9751.2 ,13050.6 ,1662.1 ,1663.5 
381,CD247,"CD247 molecule",919,3,523.4,4746.4 ,10440.5 ,,19321.2 ,11057.4 ,11932.5 ,549.1 ,4380.0 ,
382,TPM1,"tropomyosin 1 (alpha)",7168,3,523.5,3463.6 ,1259.1 ,1124.4 ,,,,,5497.0 ,4021.4 
383,C3,"complement component 3",718,3,524.9,262.0 ,383.0 ,,801.8 ,207.2 ,4084.6 ,6795.4 ,12197.8 ,1114.4 
384,WNK1,"WNK lysine deficient protein kinase 1",65125,3,525.1,2066.2 ,2674.5 ,,6850.9 ,14357.7 ,4154.9 ,6313.9 ,,
385,RAB11FIP5,"RAB11 family interacting protein 5 (class I)",26056,3,525.7,1894.8 ,826.4 ,,1643.0 ,12066.1 ,3996.5 ,,,
386,SAMD4A,"sterile alpha motif domain containing 4A",23034,3,527.3,129.3 ,270.5 ,10065.8 ,820.4 ,2384.4 ,4183.1 ,8966.1 ,5050.3 ,
387,PNMA1,"paraneoplastic Ma antigen 1",9240,3,527.4,687.3 ,1121.9 ,6243.7 ,9368.3 ,5140.9 ,9737.4 ,708.0 ,,
388,TAB3,"TGF-beta activated kinase 1/MAP3K7 binding protein 3",257397,3,530.0,2828.2 ,5528.0 ,,1603.3 ,7598.1 ,,170.2 ,3468.7 ,9259.3 
389,FLJ32255,"uncharacterized LOC643977",643977,0,532.7,,,,,,,,,
390,GIMAP7,"GTPase, IMAP family member 7",168537,3,533.1,963.9 ,2017.9 ,,20210.4 ,7453.0 ,6937.3 ,,,
391,INPP1,"inositol polyphosphate-1-phosphatase",3628,3,533.2,60.9 ,207.8 ,207.8 ,3314.5 ,5477.3 ,5007.7 ,3148.2 ,,
392,SPATS2L,"spermatogenesis associated, serine-rich 2-like",26010,3,535.4,223.5 ,4152.8 ,864.9 ,14354.3 ,11187.6 ,6322.0 ,8954.0 ,4801.6 ,
393,PRF1,"perforin 1 (pore forming protein)",5551,3,535.5,1748.2 ,12133.2 ,,19283.9 ,15709.9 ,12522.5 ,4989.3 ,,
394,IDO1,"indoleamine 2,3-dioxygenase 1",3620,3,535.6,874.3 ,9578.5 ,1148.2 ,9494.9 ,1380.0 ,9985.0 ,1942.3 ,,
395,CPEB3,"cytoplasmic polyadenylation element binding protein 3",22849,0,537.5,2032.0 ,3359.0 ,3887.4 ,136.2 ,589.5 ,8314.7 ,6107.2 ,5656.2 ,
396,ELOVL7,"ELOVL fatty acid elongase 7",79993,3,539.7,1366.5 ,12070.8 ,12045.5 ,3655.6 ,4593.6 ,,4930.1 ,5717.3 ,7562.4 
397,LAG3,"lymphocyte-activation gene 3",3902,3,539.8,9808.8 ,5333.5 ,12259.4 ,12585.2 ,9733.5 ,,,12293.0 ,
398,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",9645,3,540.4,150.0 ,242.4 ,,17465.7 ,610.0 ,7052.5 ,1784.9 ,11290.3 ,
399,IRF7,"interferon regulatory factor 7",3665,3,541.4,3811.3 ,8762.5 ,1778.0 ,1281.8 ,2423.3 ,3211.0 ,,2306.9 ,190.8 
400,TRIM58,"tripartite motif containing 58",25893,3,542.4,2755.4 ,9897.6 ,11411.1 ,,10119.5 ,,9376.4 ,,
401,ANKIB1,"ankyrin repeat and IBR domain containing 1",54467,3,542.9,1389.4 ,3253.2 ,1425.0 ,4711.6 ,6705.0 ,829.1 ,1137.5 ,524.9 ,
402,ALPK2,"alpha-kinase 2",115701,3,543.3,375.7 ,567.5 ,,1139.4 ,2032.2 ,8575.4 ,10868.0 ,,
403,FBXL3,"F-box and leucine-rich repeat protein 3",26224,2,545.8,1479.4 ,734.1 ,3067.6 ,10524.1 ,14242.8 ,251.0 ,661.4 ,1789.0 ,2870.1 
404,FHL1,"four and a half LIM domains 1",2273,3,546.4,1797.2 ,1447.1 ,6511.3 ,9661.7 ,14909.5 ,2960.9 ,6683.9 ,7838.3 ,
405,DCAF6,"DDB1 and CUL4 associated factor 6",55827,3,548.4,190.2 ,407.7 ,304.2 ,227.7 ,1712.6 ,1550.1 ,3943.6 ,235.4 ,
406,CD40,"CD40 molecule, TNF receptor superfamily member 5",958,3,548.8,814.2 ,2755.3 ,6432.6 ,4153.2 ,5424.9 ,10105.0 ,8889.6 ,10013.5 ,
407,RNF19A,"ring finger protein 19A, RBR E3 ubiquitin protein ligase",25897,3,550.5,533.0 ,327.4 ,,223.9 ,3061.3 ,542.0 ,433.3 ,4636.5 ,6288.8 
408,USP18,"ubiquitin specific peptidase 18",11274,3,550.8,1062.3 ,4200.8 ,,,2614.6 ,3368.2 ,4022.4 ,239.8 ,
409,KIFAP3,"kinesin-associated protein 3",22920,3,552.1,484.7 ,214.0 ,,9777.6 ,11106.9 ,2478.5 ,,1524.3 ,3483.5 
410,CD2,"CD2 molecule",914,3,552.8,1239.8 ,4865.4 ,,20253.3 ,11974.7 ,12429.4 ,1561.8 ,7967.6 ,
411,BIN1,"bridging integrator 1",274,3,553.3,1735.0 ,1288.8 ,,11086.3 ,8998.3 ,7385.7 ,4907.0 ,3642.3 ,
412,TNFSF4,"tumor necrosis factor (ligand) superfamily, member 4",7292,3,553.3,1015.9 ,501.9 ,11176.8 ,10646.3 ,8280.5 ,11872.0 ,,,
413,CASP4,"caspase 4, apoptosis-related cysteine peptidase",837,3,553.4,160.6 ,78.2 ,97.7 ,,2968.2 ,4092.1 ,,,
414,C19orf12,"chromosome 19 open reading frame 12",83636,1,554.5,2021.7 ,514.0 ,1793.1 ,2702.8 ,4172.6 ,869.7 ,2428.7 ,1308.5 2478.7 ,1919.9 
415,TRBC1,"T cell receptor beta constant 1",28639,3,555.5,10073.0 ,,,,,,,,
416,ANKRD6,"ankyrin repeat domain 6",22881,3,556.4,2512.8 ,5410.5 ,3387.1 ,11898.0 ,16789.0 ,9568.0 ,2416.9 ,7147.6 ,7969.7 
417,TERF2IP,"telomeric repeat binding factor 2, interacting protein",54386,3,556.9,226.5 ,346.3 ,,8283.3 ,11353.2 ,2017.9 ,1873.2 ,758.7 ,9191.0 
418,GABARAPL1,"GABA(A) receptor-associated protein like 1",23710,3,557.2,313.9 ,218.0 ,857.3 ,528.9 ,2245.8 ,464.7 ,1376.9 ,11910.6 ,
419,CLIP1,"CAP-GLY domain containing linker protein 1",6249,3,559.1,406.8 ,70.2 ,1241.4 ,686.3 ,3465.0 ,,630.9 ,5990.9 ,
420,AXL,"AXL receptor tyrosine kinase",558,3,565.2,855.5 ,975.7 ,,9524.7 ,11872.8 ,,11051.6 ,,
421,C15orf48,"chromosome 15 open reading frame 48",84419,3,565.3,459.6 ,1496.8 ,844.3 ,815.5 ,1201.9 ,5206.5 ,3206.6 ,,
422,IFNAR1,"interferon (alpha, beta and omega) receptor 1",3454,3,566.2,1392.7 ,1272.3 ,,9310.5 ,18960.1 ,355.2 ,8186.6 ,1679.8 ,
423,AKAP11,"A kinase (PRKA) anchor protein 11",11215,3,568.4,3931.1 ,2687.7 ,,10172.7 ,10932.7 ,3246.8 ,5549.5 ,7256.5 ,
424,FADS3,"fatty acid desaturase 3",3995,3,569.2,920.4 ,6041.8 ,1864.8 ,2929.4 ,3380.4 ,6532.3 ,3507.6 ,,
425,HCG26,"HLA complex group 26 (non-protein coding)",352961,3,571.2,,3184.3 ,,,,,,,
426,ABCG2,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)",9429,3,571.4,1146.3 ,4010.2 ,11032.9 ,2059.6 ,2900.7 ,6784.6 ,2206.8 ,8946.8 ,
427,TMCC1,"transmembrane and coiled-coil domain family 1",23023,2,571.7,4685.5 ,4147.2 ,4036.6 ,2117.2 ,5180.9 ,2247.1 ,1226.2 ,11297.2 ,2059.5 
428,KLF8,"Kruppel-like factor 8",11279,3,578.3,3206.6 ,7794.6 ,6990.4 ,,17612.9 ,,10829.0 ,,
429,TANGO2,"transport and golgi organization 2 homolog (Drosophila)",128989,3,579.0,832.8 ,5024.6 ,2830.8 ,981.8 ,3207.8 ,3248.0 ,4980.2 ,4607.7 ,
430,SNX7,"sorting nexin 7",51375,3,579.9,694.6 ,1847.4 ,2184.0 ,6421.2 ,2283.2 ,3589.3 ,5880.4 ,4265.0 ,958.0 
431,VTI1B,"vesicle transport through interaction with t-SNAREs 1B",10490,2,579.9,1740.1 ,2946.7 ,,5039.0 ,1550.9 ,,19.2 ,534.4 ,
432,MAP4K5,"mitogen-activated protein kinase kinase kinase kinase 5",11183,3,580.1,2166.2 ,1480.5 ,,2732.2 ,10974.2 ,399.8 ,1313.8 ,5499.3 ,2510.2 
433,PICALM,"phosphatidylinositol binding clathrin assembly protein",8301,3,581.1,1284.2 ,2859.0 ,473.4 ,3020.4 ,2879.4 ,238.2 ,1014.7 ,956.8 ,1883.1 
434,GIMAP8,"GTPase, IMAP family member 8",155038,3,583.3,1115.8 ,2298.0 ,4872.7 ,16413.8 ,6284.9 ,,1358.7 ,8112.2 ,
435,MAP1LC3B,"microtubule-associated protein 1 light chain 3 beta",81631,3,584.0,944.3 ,220.1 ,4473.6 343.0 ,2720.2 ,15989.9 ,3416.2 ,26.1 ,380.1 ,338.5 
436,DPYSL2,"dihydropyrimidinase-like 2",1808,3,593.4,2912.3 ,1208.2 ,,15120.6 ,13652.1 ,5400.7 ,10926.4 ,4524.8 ,
437,REXO2,"RNA exonuclease 2",25996,3,593.5,657.7 ,3778.4 ,,5854.6 ,3043.5 ,5675.4 ,7054.5 ,1010.2 ,5664.7 
438,ANKRD29,"ankyrin repeat domain 29",147463,3,593.8,886.8 ,1561.3 ,9786.9 ,7579.2 ,16292.5 ,,625.0 ,10720.3 ,
439,CXCR6,"chemokine (C-X-C motif) receptor 6",10663,3,593.9,5171.4 ,10634.3 ,12971.2 ,15568.3 ,8235.5 ,,3858.4 ,,
440,HAGH,"hydroxyacylglutathione hydrolase",3029,3,594.7,788.1 ,4712.1 ,,162.0 ,194.8 ,1921.2 ,8455.8 ,76.4 ,
441,STAM,"signal transducing adaptor molecule (SH3 domain and ITAM motif) 1",8027,3,595.5,1661.3 ,1264.1 ,4463.9 ,11509.6 ,10050.8 ,,2061.7 ,4808.4 ,4077.1 
442,NFKB2,"nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)",4791,3,596.6,258.6 ,3108.9 ,4791.2 ,4135.3 ,3305.1 ,4658.8 ,3085.1 ,12885.6 ,156.4 
443,TMEM200A,"transmembrane protein 200A",114801,3,597.0,4795.6 ,1025.5 ,3096.7 ,16339.4 ,12419.7 ,10955.1 ,9664.0 ,7996.7 ,
444,TRAF1,"TNF receptor-associated factor 1",7185,3,598.6,618.1 ,2298.9 ,7041.2 ,6944.1 ,6055.8 ,7346.5 ,8707.4 ,4889.7 ,
445,CYP4V2,"cytochrome P450, family 4, subfamily V, polypeptide 2",285440,3,599.1,1302.8 ,5329.4 ,4708.8 ,873.2 ,365.6 ,1966.0 ,,5966.7 ,
446,ARMCX3,"armadillo repeat containing, X-linked 3",51566,3,602.5,652.2 ,1385.8 ,4913.2 ,,12689.9 ,1545.0 ,1980.2 ,,
447,PTRF,"polymerase I and transcript release factor",284119,3,604.1,395.9 ,146.0 ,,6848.1 ,10584.0 ,,,9870.1 ,6633.6 
448,PDE4DIP,"phosphodiesterase 4D interacting protein",9659,1,604.4,372.5 ,833.0 ,6405.4 ,1378.7 ,948.7 ,470.8 ,524.9 ,7743.6 ,
449,PPAP2A,"phosphatidic acid phosphatase type 2A",8611,3,604.8,1017.9 ,5447.1 ,,,,,,,210.4 
450,ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",3675,3,606.4,365.1 ,1144.1 ,4481.9 ,6299.2 ,5503.0 ,12782.1 ,12811.3 ,8455.4 ,
451,PKD2,"polycystic kidney disease 2 (autosomal dominant)",5311,3,608.6,1854.6 ,2312.4 ,8230.3 ,10282.5 ,15629.7 ,10183.0 ,3251.1 ,8198.0 ,
452,TMCC2,"transmembrane and coiled-coil domain family 2",9911,3,610.2,6774.2 ,2685.2 ,15068.7 ,4070.2 ,8486.3 ,12593.1 ,15358.2 ,1851.0 ,
453,KIAA0430,"KIAA0430",9665,3,613.1,2388.0 ,647.8 ,6742.7 ,6732.2 ,9722.3 ,,3279.4 ,10184.4 ,
454,S100A6,"S100 calcium binding protein A6",6277,3,615.9,345.0 ,99.5 ,1882.8 ,7700.8 ,11791.3 ,6257.8 ,94.7 ,2586.4 ,
455,GIMAP6,"GTPase, IMAP family member 6",474344,3,616.9,2118.1 ,3214.2 ,,15570.9 ,9016.8 ,12563.2 ,4698.9 ,,
456,THEMIS,"thymocyte selection associated",387357,3,617.6,1461.8 ,4777.9 ,,19859.3 ,9081.8 ,,602.2 ,10742.9 ,
457,CASP1,"caspase 1, apoptosis-related cysteine peptidase",834,3,617.7,328.2 ,235.8 ,228.4 ,,2440.5 ,7811.2 ,2270.8 ,3973.2 ,227.5 
458,LPIN1,"lipin 1",23175,1,620.7,89.1 ,65.5 ,,626.4 ,360.2 ,1108.9 ,9298.8 ,5586.2 ,6110.9 
459,PAFAH1B1,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)",5048,3,620.8,1912.7 ,377.7 ,,2409.1 ,7770.8 ,1461.8 ,1535.0 ,454.9 ,6290.3 
460,IGIP,"IgA-inducing protein",492311,3,620.9,2549.6 ,104.1 ,,3527.2 ,8803.6 ,,,,
461,NR3C2,"nuclear receptor subfamily 3, group C, member 2",4306,3,621.6,4505.9 ,2341.6 ,,942.6 ,463.8 ,323.8 ,,1758.9 ,
462,TICAM1,"toll-like receptor adaptor molecule 1",148022,3,622.2,4486.0 ,2752.7 ,907.8 ,2782.7 ,6480.9 ,6203.9 ,,5197.4 ,
463,NMI,"N-myc (and STAT) interactor",9111,3,623.4,737.3 ,3312.7 ,325.9 ,3209.5 ,3685.8 ,1075.6 ,62.6 ,431.7 ,168.2 
464,TMEM245,"transmembrane protein 245",23731,2,625.5,2141.9 ,5030.4 ,5756.2 ,7950.2 ,9767.9 ,8751.1 ,7025.4 ,6281.5 ,
465,SNX3,"sorting nexin 3",8724,3,626.0,1246.0 ,1002.2 ,782.6 ,3412.8 ,10113.2 ,6977.5 ,3744.1 ,1126.7 ,1526.9 
466,MPP1,"membrane protein, palmitoylated 1, 55kDa",4354,3,628.6,308.3 ,4483.8 ,1866.2 ,4083.1 ,9519.6 ,,4142.1 ,6248.9 ,184.9 
467,CLEC2B,"C-type lectin domain family 2, member B",9976,3,628.9,954.7 ,338.9 ,,,,,3445.1 ,,
468,SNCA,"synuclein, alpha (non A4 component of amyloid precursor)",6622,3,630.5,1979.3 ,4494.7 ,,5191.0 ,10026.0 ,11139.5 ,9741.1 ,5200.1 ,
469,ABCC13,"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene",150000,3,630.8,2453.6 ,,,,,,,,
470,AIFM2,"apoptosis-inducing factor, mitochondrion-associated, 2",84883,3,633.4,645.8 ,2468.4 ,2134.5 ,101.2 ,1147.2 ,5169.1 ,8056.3 ,5143.5 ,849.4 
471,GZMK,"granzyme K (granzyme 3; tryptase II)",3003,3,633.5,1063.1 ,4303.4 ,12523.4 ,11336.5 ,,12376.4 ,7726.6 ,,
472,BBX,"bobby sox homolog (Drosophila)",56987,3,633.9,1659.1 ,1422.8 ,,7240.3 ,5912.7 ,6207.1 ,522.6 ,8421.8 ,
473,CTTNBP2NL,"CTTNBP2 N-terminal like",55917,3,634.5,271.4 ,1522.6 ,825.3 ,6568.1 ,11500.9 ,3277.3 ,1662.2 ,12261.2 ,
474,TAB2,"TGF-beta activated kinase 1/MAP3K7 binding protein 2",23118,3,636.1,1510.4 ,1821.4 ,2600.4 ,3476.9 ,14428.7 ,100.4 ,550.5 ,1538.2 ,
475,CASP7,"caspase 7, apoptosis-related cysteine peptidase",840,3,641.4,93.5 ,1743.3 ,1298.1 ,2083.5 ,2621.2 ,469.1 ,7551.5 ,8761.8 ,
476,CCL2,"chemokine (C-C motif) ligand 2",6347,3,642.0,792.4 ,1009.1 ,528.9 ,,9214.2 ,,3908.5 ,,
477,ATL1,"atlastin GTPase 1",51062,3,643.1,854.4 ,2070.1 ,5998.6 ,7053.5 ,4815.8 ,7168.1 ,1220.6 ,1193.9 ,
478,NAP1L5,"nucleosome assembly protein 1-like 5",266812,3,644.4,506.7 ,583.4 ,,12710.4 ,13876.5 ,7322.3 ,15591.0 ,,
479,LRP10,"low density lipoprotein receptor-related protein 10",26020,3,644.8,333.1 ,354.6 ,2295.2 ,2514.6 ,6699.6 ,1205.9 ,111.3 ,,
480,RCAN2,"regulator of calcineurin 2",10231,3,645.6,1025.3 ,1423.7 ,12514.9 ,2612.5 ,9689.9 ,2239.8 ,1488.7 ,8202.6 ,
481,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",3688,3,645.8,441.5 ,1154.0 ,3481.7 ,2385.7 ,10087.7 ,874.9 ,1843.9 ,4598.5 ,
482,MXRA7,"matrix-remodelling associated 7",439921,3,646.0,6073.8 ,358.7 ,,,,,,,
483,TMEM263,"transmembrane protein 263",90488,3,646.8,1716.5 ,169.9 ,,7487.7 ,9515.7 ,2690.7 ,2697.0 ,4665.5 ,2564.1 
484,EEA1,"early endosome antigen 1",8411,3,647.0,2252.5 ,902.0 ,,2487.1 ,1628.4 ,1344.7 ,880.9 ,676.5 ,
485,ISCA1,"iron-sulfur cluster assembly 1",81689,3,647.1,4467.1 ,2777.0 ,,172.8 ,2077.2 ,1632.3 ,13903.5 ,6150.7 ,
486,IFNG,"interferon, gamma",3458,3,648.0,1151.1 ,5006.4 ,3811.7 ,11462.6 ,14133.1 ,8839.9 ,7967.9 ,,
487,EFR3A,"EFR3 homolog A (S. cerevisiae)",23167,3,648.3,1424.8 ,583.7 ,1265.2 ,1483.4 ,652.9 ,439.8 ,7558.7 ,7729.0 ,7535.4 
488,100133019,"&nbsp;",100133019,0,650.3,,,,,,,,,
489,RASGRP1,"RAS guanyl releasing protein 1 (calcium and DAG-regulated)",10125,3,650.9,2769.6 ,6876.9 ,7492.1 ,19742.6 ,14848.1 ,4972.4 ,6986.4 ,5134.9 ,383.1 
490,VCAM1,"vascular cell adhesion molecule 1",7412,3,651.2,734.2 ,460.2 ,7133.0 ,7427.2 ,4240.3 ,4557.5 ,1041.6 ,651.3 ,
491,LINC00341,"long intergenic non-protein coding RNA 341",79686,3,651.8,1455.0 ,368.7 ,,,,,,,
492,C10orf32,"chromosome 10 open reading frame 32",119032,3,652.1,2269.6 ,2809.9 ,,6316.2 ,8885.9 ,2377.1 ,8044.8 ,2331.3 ,4407.2 
493,MFHAS1,"malignant fibrous histiocytoma amplified sequence 1",9258,2,652.3,9022.3 ,15961.9 ,5437.8 ,9080.8 ,13429.4 ,6716.6 ,41.8 ,,
494,PHACTR2,"phosphatase and actin regulator 2",9749,3,653.2,1668.0 ,8719.2 ,,1409.8 ,9521.0 ,,2098.5 ,,
495,ITGB8,"integrin, beta 8",3696,3,653.9,2244.7 ,2673.9 ,11069.2 ,,17645.4 ,,14379.3 ,,
496,GNG11,"guanine nucleotide binding protein (G protein), gamma 11",2791,3,655.2,1192.4 ,130.9 ,3374.4 ,4988.7 ,5497.2 ,8045.4 ,,9947.5 ,
497,ZFYVE1,"zinc finger, FYVE domain containing 1",53349,3,655.8,24.5 ,48.5 ,1845.8 ,165.5 ,3599.7 ,53.1 ,749.0 ,1366.7 ,5370.3 
498,GCC2,"GRIP and coiled-coil domain containing 2",9648,3,656.8,2029.6 ,1871.0 ,5576.2 ,6418.5 ,3552.7 ,1089.6 ,7839.2 ,3272.7 ,
499,NNMT,"nicotinamide N-methyltransferase",4837,3,657.1,789.0 ,442.8 ,3112.0 ,3780.5 ,2990.8 ,3193.3 ,12612.7 ,,
500,LHFP,"lipoma HMGIC fusion partner",10186,3,658.0,1779.0 ,622.0 ,1233.3 ,3625.6 ,6646.5 ,6200.5 ,7464.0 ,3532.7 ,

