,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TBK1,Hsa2 MR for TBK1,Hsa3 MR for TBK1,Mcc MR for TBK1,Mmu MR for Tbk1,Mmu2 MR for Tbk1,Rno MR for Tbk1,Cfa MR for TBK1,Gga MR for TBK1,Dre MR for tbk1,Dme MR for ik2,Dme2 MR for ik2
330,VWA1,"von Willebrand factor A domain containing 1",64856,1,476.3,19510.9 ,17633.4 ,14918.1 ,13150.3 ,18208.3 ,9981.7 ,9624.2 ,9796.0 ,3403.6 ,,
331,FBXL6,"F-box and leucine-rich repeat protein 6",26233,2,476.4,18944.2 ,17215.3 ,12506.0 ,8477.0 ,16597.7 ,2309.2 ,6360.9 ,,,2493.8 ,1854.3 
332,TGM6,"transglutaminase 6",343641,1,477.5,18900.3 ,,,18559.9 ,,,15428.1 ,11876.3 ,,,
333,ZNF707,"zinc finger protein 707",286075,0,479.4,16364.8 ,19534.8 ,,6122.3 ,9635.4 ,2305.8 ,,,,,
334,CABP7,"calcium binding protein 7",164633,1,480.1,18570.1 ,15617.0 ,,17264.5 ,9179.0 ,,15717.5 ,13285.9 ,,,
335,PCDHGA3,"protocadherin gamma subfamily A, 3",56112,2,481.9,,17206.4 ,,,16472.2 ,,,,,,
336,LIMK1,"LIM domain kinase 1",3984,1,481.9,10755.7 ,15194.5 ,7967.4 ,13786.9 ,10515.1 ,13485.6 ,14965.6 ,13166.2 ,,1782.0 ,6203.0 
337,C2orf16,"chromosome 2 open reading frame 16",84226,1,482.7,17522.6 ,5583.5 ,14642.9 ,,,,,,,,
338,CAPN7,"calpain 7",23473,2,483.5,236.4 ,33.2 ,1153.8 ,151.5 ,945.4 ,40.4 ,76.4 ,603.9 ,,,
339,RRM2B,"ribonucleotide reductase M2 B (TP53 inducible)",50484,3,485.2,81.2 ,39.6 ,,2821.7 ,2178.6 ,,4284.3 ,5259.1 ,8313.7 ,,
340,SYNJ1,"synaptojanin 1",8867,3,487.3,479.6 ,1907.3 ,1167.4 ,93.8 ,347.5 ,39.5 ,577.1 ,9485.8 ,,807.5 ,9650.9 
341,DLD,"dihydrolipoamide dehydrogenase",1738,3,488.8,185.3 ,303.0 ,3364.3 ,623.2 ,2704.9 ,1079.1 ,1811.1 ,899.8 ,4854.6 ,11818.2 ,7685.6 
342,DHX36,"DEAH (Asp-Glu-Ala-His) box polypeptide 36",170506,2,489.0,91.4 ,104.9 ,,464.1 ,213.9 ,751.9 ,28.6 ,5129.0 ,,3795.8 ,7971.3 
343,CLIP1,"CAP-GLY domain containing linker protein 1",6249,3,491.6,279.0 ,462.8 ,819.2 ,3175.4 ,2383.9 ,,783.9 ,1661.0 ,,2907.8 ,10077.7 
344,DKFZP434A062,"uncharacterized LOC26102",26102,0,493.0,,,,,,,,,,,
345,NUP153,"nucleoporin 153kDa",9972,3,493.0,1042.0 ,1006.0 ,3707.1 ,303.6 ,1648.5 ,24.0 ,605.2 ,1336.4 ,,326.2 ,1781.3 
346,SHROOM3,"shroom family member 3",57619,0,494.6,10752.6 ,15003.3 ,2306.0 ,11551.1 ,10020.5 ,6573.5 ,10219.5 ,6229.8 ,,,
347,SLC5A5,"solute carrier family 5 (sodium/iodide cotransporter), member 5",6528,1,494.8,18036.6 ,17719.1 ,,16655.4 ,13298.7 ,13342.6 ,15409.8 ,12316.6 ,,,
348,HOXC12,"homeobox C12",3228,1,495.9,19458.8 ,,14731.9 ,,,,15016.5 ,,,,
349,PITX3,"paired-like homeodomain 3",5309,0,497.0,19639.0 ,,,20063.3 ,,13657.3 ,16044.8 ,12220.6 ,,,
350,KCNK4,"potassium channel, subfamily K, member 4",50801,1,497.5,19441.4 ,,14788.8 ,18572.2 ,13095.0 ,12440.3 ,15914.1 ,,,,
351,ANKRD42,"ankyrin repeat domain 42",338699,0,498.2,3002.8 ,6309.9 ,,7364.2 ,12639.9 ,570.4 ,,,,,
352,NFE2L2,"nuclear factor, erythroid 2-like 2",4780,3,499.6,164.2 ,85.7 ,482.8 ,323.4 ,4716.1 ,1163.4 ,2308.3 ,944.7 ,1535.9 ,,
353,FAM43A,"family with sequence similarity 43, member A",131583,1,500.3,14745.3 ,11090.9 ,4777.1 ,4972.0 ,15598.0 ,1793.6 ,,12244.5 ,,,
354,MFN1,"mitofusin 1",55669,3,503.7,167.5 ,179.2 ,,4054.3 ,3637.9 ,2636.6 ,188.7 ,458.1 ,,,
355,LOC100128079,"uncharacterized LOC100128079",100128079,0,504.0,,,,,,,,,,,
356,EXOC3L1,"exocyst complex component 3-like 1",283849,1,504.7,18904.8 ,17579.4 ,13363.7 ,16439.3 ,15768.1 ,11722.8 ,14282.4 15453.4 ,12689.5 ,,,
357,BIRC6,"baculoviral IAP repeat containing 6",57448,3,505.0,849.6 ,2319.9 ,7149.7 ,2396.6 ,2158.0 ,,68.4 ,529.2 ,,6163.9 ,4999.7 
358,GOLGA4,"golgin A4",2803,2,508.3,271.6 ,160.1 ,,1332.9 ,267.2 ,435.0 ,457.4 ,1233.8 ,,1971.2 ,3279.5 
359,SCAMP5,"secretory carrier membrane protein 5",192683,0,508.4,16982.1 ,16030.9 ,10701.0 ,12390.9 ,7928.3 ,10926.9 ,14986.2 ,11359.6 ,3182.4 ,,
360,C17orf82,"chromosome 17 open reading frame 82",388407,1,509.0,19126.9 ,,,,,,,,,,
361,54658,"&nbsp;",54658,0,509.8,11942.3 ,9556.7 ,8621.1 ,,10427.7 ,,,6104.6 ,,10202.6 ,9095.9 
362,RBPJ,"recombination signal binding protein for immunoglobulin kappa J region",3516,3,509.8,586.6 ,956.4 ,336.2 ,291.5 ,6004.5 ,342.9 ,1309.4 ,1286.0 ,,92.3 ,2204.2 
363,AGRN,"agrin",375790,1,511.1,16895.8 ,18577.0 ,9414.1 ,5397.1 ,1425.5 ,4135.7 ,10162.6 ,12728.8 ,,,
364,ZSCAN5A,"zinc finger and SCAN domain containing 5A",79149,0,512.5,13704.1 ,18115.8 ,5159.9 ,,,,,,,,
365,MARCH7,"membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase",64844,3,513.5,32.7 ,95.8 ,1213.4 ,152.5 ,113.6 ,292.1 ,112.4 ,4131.2 ,6165.2 ,,
366,144871,"&nbsp;",144871,0,513.8,,,,,,,,,,,
367,NPC1,"Niemann-Pick disease, type C1",4864,3,515.5,1438.9 ,4520.7 ,5083.4 ,1594.9 ,1236.1 ,,3812.3 ,1650.6 ,8275.9 ,4887.9 ,8272.0 
368,SNAI3-AS1,"SNAI3 antisense RNA 1",197187,1,516.5,16726.5 ,15491.8 ,,,,,,,,,
369,GPSM1,"G-protein signaling modulator 1",26086,0,518.2,18786.0 ,18987.8 ,,3124.3 ,13968.8 ,11580.4 ,,7716.8 ,,,
370,C2orf57,"chromosome 2 open reading frame 57",165100,2,519.1,18543.1 ,,,20247.5 ,17331.1 ,,16091.3 ,,,,
371,ADRA1B,"adrenoceptor alpha 1B",147,1,520.0,17997.5 ,14838.5 ,,19633.3 ,10882.4 ,11695.8 ,13657.5 ,3420.8 ,,,
372,PRDM11,"PR domain containing 11",56981,0,520.6,18447.9 ,16661.9 ,15358.2 ,15672.1 ,13375.4 ,13063.1 ,15338.8 ,3147.5 ,,,
373,SPERT,"spermatid associated",220082,1,525.1,17396.1 ,,13755.7 ,19759.0 ,15456.5 ,,12515.9 ,8734.5 ,,,
374,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",8128,1,525.3,17119.4 ,18858.0 ,,16438.8 ,16149.2 ,13580.6 ,15736.9 ,10816.0 ,6203.4 ,,
375,DKFZP547L112,"uncharacterized protein DKFZp547L112",81787,0,525.8,,,,,,,,,,,
376,TP73,"tumor protein p73",7161,1,526.5,18704.8 ,16475.6 ,15323.5 ,18900.1 ,9651.2 ,,11866.8 ,9402.8 ,1260.3 ,,
377,BZW1,"basic leucine zipper and W2 domains 1",9689,3,528.9,324.2 ,498.5 ,1800.2 ,2164.5 ,1529.2 ,1093.7 ,414.4 ,2299.6 ,8259.9 ,,801.6 
378,IFNGR1,"interferon gamma receptor 1",3459,3,529.8,170.5 ,334.9 ,,2143.9 ,2746.0 ,1189.3 ,,,,,
379,PSORS1C1,"psoriasis susceptibility 1 candidate 1",170679,1,530.0,14535.5 ,,,,,,,,,,
380,ZFR,"zinc finger RNA binding protein",51663,2,535.0,599.0 ,462.4 ,1046.8 ,1780.4 ,1186.1 ,598.1 ,535.4 ,931.3 ,6423.9 ,4804.3 ,4080.5 
381,IFNA8,"interferon, alpha 8",3445,2,535.3,18044.8 ,,11219.5 ,,,,,,,,
382,PRDM10,"PR domain containing 10",56980,1,535.5,5386.2 ,4938.5 ,1339.3 ,9540.3 ,6186.0 ,,14922.2 ,6599.6 ,,,
383,TANK,"TRAF family member-associated NFKB activator",10010,3,537.5,70.5 ,69.8 ,793.2 ,14.7 ,264.5 ,1134.2 ,56.2 ,2052.6 ,,,
384,FAM205A,"family with sequence similarity 205, member A",259308,3,537.9,17974.4 ,,14399.3 ,19605.9 ,,,,,,,
385,CMTM1,"CKLF-like MARVEL transmembrane domain containing 1",113540,0,537.9,4091.0 ,6927.0 ,13351.4 ,,,,15175.0 ,,,,
386,C8orf58,"chromosome 8 open reading frame 58",541565,1,538.0,19194.7 ,16603.1 ,10702.0 ,4084.6 ,8483.4 ,11466.3 ,5930.6 ,,,,
387,FNIP1,"folliculin interacting protein 1",96459,3,538.6,403.2 ,1429.1 ,,8.7 ,594.7 ,,1497.9 ,3558.3 ,294.8 ,,
388,PCDHGC5,"protocadherin gamma subfamily C, 5",56097,0,538.8,15607.8 ,17730.0 ,7437.3 ,,14453.4 ,,,,,,
389,CCDC85A,"coiled-coil domain containing 85A",114800,0,539.3,17937.3 ,7135.7 ,3557.7 ,5313.7 ,8119.5 ,,14520.2 ,,,,
390,BAHCC1,"BAH domain and coiled-coil containing 1",57597,1,539.4,19041.4 ,17543.6 ,14337.8 ,17299.8 ,9179.2 ,13461.1 ,,11219.6 ,,,
391,JKAMP,"JNK1/MAPK8-associated membrane protein",51528,3,539.7,131.2 ,501.9 ,602.8 ,1749.5 ,3659.5 ,1427.5 ,1124.6 ,5455.0 ,6081.0 ,2233.5 ,491.5 
392,KPNA3,"karyopherin alpha 3 (importin alpha 4)",3839,3,539.9,759.4 ,517.8 ,11465.8 ,1436.5 ,1695.7 ,797.8 ,643.0 ,1556.2 ,4841.9 ,,
393,MC3R,"melanocortin 3 receptor",4159,1,539.9,17740.1 ,,15046.7 ,20162.7 ,,,15996.7 ,,1008.6 ,,
394,TSPAN17,"tetraspanin 17",26262,1,540.0,14902.2 ,13098.0 ,3397.4 ,12466.5 ,13706.0 ,12750.5 ,9259.8 ,,8069.9 ,9887.2 ,3694.6 
395,IL17RC,"interleukin 17 receptor C",84818,1,541.5,17452.3 ,17385.8 ,9463.8 ,18243.7 ,12661.3 ,12854.5 ,14433.9 ,,,,
396,TAF8,"TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa",129685,0,541.9,8190.2 ,18512.1 ,,1752.6 ,8500.6 ,311.2 ,7928.8 ,4492.4 ,7732.9 ,1542.3 ,1712.9 
397,NUTM1,"NUT midline carcinoma, family member 1",256646,1,542.2,19039.0 ,,13905.6 ,18828.0 ,13763.8 ,,15928.1 ,,,,
398,GAL3ST3,"galactose-3-O-sulfotransferase 3",89792,1,544.6,19539.8 ,19005.0 ,14394.0 ,,13935.2 ,,15934.9 ,,,,
399,LARP7,"La ribonucleoprotein domain family, member 7",51574,3,544.6,94.1 ,202.4 ,2787.2 ,3018.5 ,3359.2 ,1400.2 ,156.4 ,2749.4 ,9646.0 ,1811.2 ,56.8 
400,RNF103,"ring finger protein 103",7844,3,545.1,840.4 ,1083.4 ,,433.1 ,3403.6 ,236.7 ,1941.1 ,3564.5 ,5671.2 ,,
401,51190,"&nbsp;",51190,0,547.1,,,,,,,,,,,
402,LOC619427,"uncharacterized LOC619427",619427,0,549.2,,,,,,,,,,,
403,TMEM114,"transmembrane protein 114",283953,0,549.8,,,,19220.6 ,8046.0 ,,,10763.1 ,,,
404,KIAA1211L,"KIAA1211-like",343990,0,551.5,18984.9 ,8050.1 ,,6976.3 ,9527.2 ,8631.9 ,16206.0 ,,,,
405,C12orf5,"chromosome 12 open reading frame 5",57103,3,551.6,156.7 ,4944.0 ,1935.4 ,,9492.9 ,2183.9 ,3317.3 ,2655.0 ,,,
406,DENND4A,"DENN/MADD domain containing 4A",10260,3,552.2,623.1 ,268.9 ,1263.2 ,1473.8 ,992.8 ,2827.0 ,365.7 ,912.8 ,,524.1 ,2965.3 
407,WDR55,"WD repeat domain 55",54853,0,552.2,3984.3 ,14343.2 ,,13313.8 ,14745.7 ,12226.3 ,4154.3 ,,,3504.3 ,931.8 
408,KCNE1,"potassium voltage-gated channel, Isk-related family, member 1",3753,3,552.6,15028.5 ,9650.9 ,11617.7 ,18358.9 ,,11808.4 ,14172.6 ,10881.9 ,,,
409,TMED5,"transmembrane emp24 protein transport domain containing 5",50999,3,553.4,167.2 ,145.5 ,,4588.4 ,8177.4 ,1895.5 ,1667.8 ,2003.2 ,,4854.4 ,1401.2 
410,MBLAC1,"metallo-beta-lactamase domain containing 1",255374,2,554.3,19554.3 ,18701.5 ,11472.5 ,18294.5 ,18985.4 ,3722.2 ,,,8430.1 ,2112.7 ,2580.8 
411,SREK1,"splicing regulatory glutamine/lysine-rich protein 1",140890,3,556.2,733.4 ,847.6 ,461.6 ,509.7 ,993.6 ,783.8 ,585.3 ,2421.3 ,,2397.5 ,426.3 
412,TCTE1,"t-complex-associated-testis-expressed 1",202500,1,556.3,18405.2 ,,14813.1 ,20127.2 ,13758.0 ,,15735.8 ,11652.4 ,,9045.2 ,
413,GRIN2D,"glutamate receptor, ionotropic, N-methyl D-aspartate 2D",2906,1,557.0,19315.3 ,17435.0 ,,20071.0 ,18381.9 ,12138.9 ,15945.2 ,,,7962.0 ,10227.4 
414,ICOSLG,"inducible T-cell co-stimulator ligand",23308,1,557.2,15013.6 ,12727.2 ,13215.8 ,9656.2 ,4018.2 ,,10394.8 ,754.6 ,,,
415,RPL13,"ribosomal protein L13",6137,3,557.9,15921.8 ,16349.7 ,10244.3 ,,17477.1 17770.1 ,9345.3 ,8375.1 ,3204.4 ,1487.9 ,9885.5 ,3599.2 
416,NT5C1A,"5'-nucleotidase, cytosolic IA",84618,1,562.0,19152.2 ,,15028.2 ,,,,15944.2 ,12713.3 ,,,
417,ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif, 13",11093,1,562.1,19669.0 ,19320.5 ,,,,,,12128.6 ,,,
418,TSG101,"tumor susceptibility 101",7251,3,562.9,785.5 ,569.1 ,,1481.3 ,7185.2 ,861.6 ,10839.2 ,4235.1 ,,5919.2 ,9576.1 
419,INHBA-AS1,"INHBA antisense RNA 1",285954,0,563.2,,17147.9 ,,,,,,,,,
420,SRRM3,"serine/arginine repetitive matrix 3",222183,1,563.9,19568.5 ,17783.5 ,,,,,,13282.6 ,,,
421,SOX3,"SRY (sex determining region Y)-box 3",6658,1,564.1,19756.5 ,14422.2 ,11081.3 ,17655.0 ,16276.0 ,,16126.3 ,12490.1 ,4070.2 ,,
422,CSNK1A1,"casein kinase 1, alpha 1",1452,3,565.6,281.0 ,927.6 ,4506.5 ,2807.6 ,5939.2 ,334.9 ,1258.8 ,633.1 ,,608.1 ,2006.7 
423,C14orf178,"chromosome 14 open reading frame 178",283579,0,567.4,19421.4 ,15921.3 ,,,,,,,,,
424,645832,"&nbsp;",645832,0,567.9,18896.2 ,,,20019.2 ,6898.7 ,12061.6 ,16019.7 ,8298.3 ,1718.0 ,,
425,RGS20,"regulator of G-protein signaling 20",8601,2,567.9,15175.7 ,3984.7 ,7804.9 ,11663.0 ,9499.3 ,,13855.7 ,10982.9 ,,,
426,PIP4K2C,"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma",79837,3,569.0,2127.6 ,3383.7 ,3274.7 ,5085.4 ,1611.2 ,764.7 ,12652.5 ,,7910.5 ,,
427,HECTD1,"HECT domain containing E3 ubiquitin protein ligase 1",25831,2,570.1,465.2 ,914.6 ,278.2 ,2510.0 ,171.6 ,782.3 ,281.1 ,988.1 ,4215.0 ,1555.5 ,3888.3 
428,CACNG8,"calcium channel, voltage-dependent, gamma subunit 8",59283,1,570.5,19745.5 ,17183.8 ,,16677.4 ,13794.4 ,12874.8 ,,,,,
429,RXFP3,"relaxin/insulin-like family peptide receptor 3",51289,1,571.1,19530.5 ,,15621.0 ,,,,16162.0 ,11369.9 ,,,
430,LYSMD3,"LysM, putative peptidoglycan-binding, domain containing 3",116068,3,571.7,122.1 ,43.4 ,380.7 ,33.5 ,417.8 ,1059.7 ,1548.5 ,2376.4 ,8884.5 ,,
431,TSPY26P,"testis specific protein, Y-linked 26, pseudogene",128854,0,573.1,19420.1 ,15815.9 ,,,,,,,,,
432,27342,"&nbsp;",27342,0,574.8,216.8 ,811.2 ,1226.4 ,526.0 ,1831.3 ,382.5 ,103.7 ,46.8 ,3766.6 ,2160.6 ,258.9 
433,DHX15,"DEAH (Asp-Glu-Ala-His) box helicase 15",1665,3,575.2,621.5 ,1235.1 ,803.5 ,418.4 ,2006.0 ,179.9 ,282.6 ,1433.3 ,6643.2 ,4787.9 ,1359.2 
434,CCDC116,"coiled-coil domain containing 116",164592,1,576.8,19092.3 ,18035.0 ,15158.9 ,18851.0 ,18643.8 ,,15147.5 ,,,,
435,LRP5,"low density lipoprotein receptor-related protein 5",4041,1,577.5,16522.9 ,19433.0 ,,16921.3 ,15046.5 ,8021.6 ,,3400.0 ,,,
436,THEG,"theg spermatid protein",51298,1,578.0,19398.3 ,,13466.5 ,20052.7 ,17885.3 ,13513.1 ,14139.9 ,,,,
437,ATP13A3,"ATPase type 13A3",79572,3,579.7,374.7 ,435.1 ,6570.1 ,225.7 ,976.9 ,,2095.6 ,1953.2 ,,2189.0 ,4379.6 
438,UBR5,"ubiquitin protein ligase E3 component n-recognin 5",51366,3,580.0,635.0 ,721.5 ,,2914.0 ,4380.8 ,1246.7 ,204.0 ,514.6 ,3828.1 ,2311.1 ,2747.9 
439,APPBP2,"amyloid beta precursor protein (cytoplasmic tail) binding protein 2",10513,3,580.5,297.2 ,705.5 ,1564.2 ,218.7 ,4744.8 ,343.1 ,1093.2 ,2870.6 ,9106.5 ,4530.9 ,2750.5 
440,ANGPT4,"angiopoietin 4",51378,1,581.8,18896.6 ,,15680.8 ,19028.3 ,,12935.8 ,14825.8 ,12744.6 ,,,
441,RHBDD1,"rhomboid domain containing 1",84236,0,584.0,4583.4 ,5580.8 ,14148.1 ,3174.9 ,5447.4 ,4725.6 ,4817.0 ,12784.9 ,,,
442,RLN3,"relaxin 3",117579,1,585.0,19440.3 ,,15712.5 ,,,13190.6 ,15057.6 ,,,,
443,401351,"&nbsp;",401351,0,585.6,,,,,,,,,,,
444,PHF20L1,"PHD finger protein 20-like 1",51105,3,587.0,157.0 ,44.4 ,443.7 ,181.3 ,94.9 ,478.3 ,601.3 ,1603.8 ,3605.0 ,,
445,PWP2,"PWP2 periodic tryptophan protein homolog (yeast)",5822,3,588.6,7537.2 ,9678.7 ,,,,,,,,,
446,ANKRD32,"ankyrin repeat domain 32",84250,3,588.8,547.9 ,850.8 ,828.1 ,712.0 ,1864.3 ,,5218.9 ,3685.9 ,,,
447,SPRN,"shadow of prion protein homolog (zebrafish)",503542,0,589.0,19592.5 ,17466.7 ,,18882.2 ,7697.2 ,12806.3 ,,,,,
448,LOC100131347,"RAD52 motif containing 1 pseudogene",100131347,1,590.4,,17892.0 ,,,,,,,,,
449,OBP2A,"odorant binding protein 2A",29991,1,591.6,19109.6 ,,14319.6 ,,15951.8 ,13215.6 ,,,,,
450,CYLD,"cylindromatosis (turban tumor syndrome)",1540,3,592.2,408.8 ,622.5 ,,224.9 ,3748.7 ,36.7 ,547.4 ,1982.0 ,,6433.1 ,10782.5 
451,PDCD10,"programmed cell death 10",11235,3,593.8,60.4 ,8.0 ,1263.2 ,334.5 ,901.2 ,144.5 ,326.3 ,1621.9 ,3992.3 ,4206.9 ,7190.2 
452,NEMF,"nuclear export mediator factor",9147,3,594.0,39.6 ,166.6 ,,697.4 ,929.4 ,,244.9 ,3962.8 ,,,201.1 
453,SLC16A6,"solute carrier family 16, member 6",9120,3,594.2,791.5 ,1386.8 ,,5141.2 ,5710.6 ,9260.0 ,6042.3 ,9119.0 ,,,
454,ADIPOR2,"adiponectin receptor 2",79602,3,594.4,1134.3 ,2500.3 ,2761.4 ,7816.6 ,2961.5 ,4317.6 ,8455.9 ,1798.4 ,2518.1 ,,
455,LINC01101,"long intergenic non-protein coding RNA 1101",84931,1,594.8,18695.8 ,,,,,,,,,,
456,FAM171A2,"family with sequence similarity 171, member A2",284069,1,595.0,18470.4 ,18838.1 ,,17765.8 ,13761.2 ,,16143.4 ,,,,
457,HSPA12A,"heat shock 70kDa protein 12A",259217,0,596.0,16715.0 ,9765.2 ,2333.1 ,14169.7 ,7550.8 ,6518.9 ,14491.6 ,9754.6 ,,,
458,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",93010,1,596.3,18082.3 ,14683.6 ,12020.4 ,17242.6 ,9108.5 ,12236.9 ,11580.3 ,9032.4 ,3030.3 ,,
459,COL4A3BP,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein",10087,3,597.0,333.8 ,57.7 ,2761.6 ,744.6 ,1356.6 ,812.1 ,831.7 ,341.9 ,5169.2 ,6030.6 ,4213.1 
460,KRT36,"keratin 36",8689,1,597.9,18990.7 ,18043.9 ,13508.1 ,18853.6 ,,13491.2 ,14665.9 ,,,,
461,ODF3L1,"outer dense fiber of sperm tails 3-like 1",161753,2,598.2,18500.3 ,19038.4 ,15667.4 ,,18941.4 ,,15897.1 ,,3757.4 ,,
462,PLEKHB2,"pleckstrin homology domain containing, family B (evectins) member 2",55041,3,599.8,979.5 ,3714.9 ,,5819.0 ,8375.4 ,2210.9 ,2859.1 ,1978.7 ,6695.0 ,,
463,OGFRP1,"opioid growth factor receptor pseudogene 1",388906,1,600.9,18971.8 ,,,,,,,,,,
464,PRDM12,"PR domain containing 12",59335,1,601.7,19693.0 ,,,,7967.2 ,12767.6 ,,9598.5 ,,,
465,DLGAP1,"discs, large (Drosophila) homolog-associated protein 1",9229,0,601.9,15877.6 ,8216.2 ,8312.9 ,12442.2 ,10447.8 ,5239.9 ,7908.8 ,,784.7 ,,
466,GABPB1,"GA binding protein transcription factor, beta subunit 1",2553,2,603.0,323.1 ,940.3 ,2192.9 ,1219.7 ,7474.0 ,9422.2 ,2253.2 ,3360.9 ,,,
467,PPP1R15B,"protein phosphatase 1, regulatory subunit 15B",84919,3,603.0,1860.4 ,1969.9 ,,294.5 ,1898.0 ,858.7 ,8403.5 ,,,,
468,MUC8,"mucin 8",4590,0,604.0,,,,,,,,,,,
469,SYNGAP1,"synaptic Ras GTPase activating protein 1",8831,0,604.7,18666.8 ,16768.1 ,,,12988.5 ,13486.1 ,14371.2 ,,,,
470,LOC283501,"uncharacterized LOC283501",283501,0,605.5,,,,,,,,,,,
471,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",5290,3,606.8,211.9 ,205.9 ,738.4 ,593.7 ,696.2 ,611.8 ,141.9 ,531.5 ,,,
472,WDR44,"WD repeat domain 44",54521,2,608.1,209.5 ,147.8 ,471.0 ,336.4 ,6167.0 ,51.1 ,288.1 ,3379.6 ,2025.6 ,,
473,RP2,"retinitis pigmentosa 2 (X-linked recessive)",6102,3,609.1,115.4 ,1605.7 ,,250.7 ,3822.7 ,1150.4 ,364.5 ,6762.9 ,6816.4 ,,
474,ZFP91,"ZFP91 zinc finger protein",80829,2,611.3,,487.6 ,,2388.9 ,2231.8 ,2083.8 ,3906.1 ,9546.2 ,,,
475,RAB14,"RAB14, member RAS oncogene family",51552,3,611.4,546.6 ,339.6 ,,77.8 ,2000.5 ,2392.8 ,1063.0 ,1118.0 ,,,
476,OXT,"oxytocin/neurophysin I prepropeptide",5020,1,611.5,19655.5 ,,,20294.0 ,,13073.5 ,,,,,
477,MOS,"v-mos Moloney murine sarcoma viral oncogene homolog",4342,1,612.2,17834.5 ,,13883.9 ,18852.9 ,,12435.2 ,15131.9 ,12413.2 ,5242.4 ,,
478,PAX7,"paired box 7",5081,1,612.4,18694.8 ,13393.7 ,15373.5 ,18158.6 ,,,14886.6 ,12565.6 ,1127.9 ,,
479,PPP1R3D,"protein phosphatase 1, regulatory subunit 3D",5509,2,613.0,16638.0 ,1155.4 ,133.3 ,12738.9 ,8872.7 ,3845.0 ,16180.5 ,5670.4 ,3677.2 ,6292.4 ,11141.2 
480,CASKIN1,"CASK interacting protein 1",57524,1,613.1,19507.9 ,17645.8 ,11042.3 ,19035.1 ,12048.2 ,12526.0 ,15917.6 ,,,,
481,RPUSD3,"RNA pseudouridylate synthase domain containing 3",285367,3,613.4,11607.2 ,13063.6 ,12649.8 ,19223.8 ,19140.5 ,11575.7 ,8689.6 ,,,,
482,DRD2,"dopamine receptor D2",1813,0,616.5,19163.0 ,,14520.9 ,18011.8 ,13453.5 ,13406.9 ,14906.0 ,10220.1 ,1042.8 610.4 ,,
483,H1FNT,"H1 histone family, member N, testis-specific",341567,2,618.1,19663.0 ,,14176.9 ,18194.8 ,18097.2 ,,16163.0 ,,,,
484,GSC,"goosecoid homeobox",145258,1,619.0,19370.0 ,9215.4 ,10260.0 ,18204.2 ,,,,3559.9 ,5592.3 ,,
485,ZNF335,"zinc finger protein 335",63925,1,619.0,15369.7 ,14549.2 ,13962.0 ,4840.4 ,11804.3 ,3807.6 ,6765.8 ,6003.9 ,,,
486,LOC728353,"uncharacterized LOC728353",728353,0,622.0,,,,,,,,,,,
487,C20orf141,"chromosome 20 open reading frame 141",128653,1,622.4,19258.4 ,,,20013.6 ,,,,,,,
488,C17orf50,"chromosome 17 open reading frame 50",146853,2,622.5,19463.5 ,,15464.2 ,19280.4 ,18583.2 ,,,,,,
489,IFITM10,"interferon induced transmembrane protein 10",402778,0,626.1,11622.1 ,11343.8 ,15597.1 ,,,12772.9 ,11772.4 ,,,,
490,ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",2005,3,626.2,3789.3 ,3925.6 ,14386.9 ,1664.4 ,4489.4 ,1017.7 ,10156.0 ,10075.3 ,852.4 ,,
491,SLC34A3,"solute carrier family 34 (type II sodium/phosphate cotransporter), member 3",142680,1,627.5,19069.6 ,,15417.5 ,18804.1 ,15220.3 ,12362.1 ,11986.1 ,,,,
492,SNORA78,"small nucleolar RNA, H/ACA box 78",677844,0,627.8,,,,,,,,,,,
493,WFIKKN1,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1",117166,1,629.7,19515.9 ,19313.5 ,11783.4 ,17485.8 ,15446.3 ,12634.6 ,14666.8 ,12301.9 ,,,
494,ADSSL1,"adenylosuccinate synthase like 1",122622,0,629.9,16540.5 ,13369.9 ,6172.3 ,7601.6 ,8529.7 ,9019.0 ,13541.8 ,1544.3 ,4108.1 ,8770.7 ,5652.3 
495,WAPAL,"wings apart-like homolog (Drosophila)",23063,3,630.6,54.0 ,303.6 ,1866.4 ,2214.8 ,1069.7 ,22.6 ,99.9 ,92.7 ,,,
496,C20orf144,"chromosome 20 open reading frame 144",128864,2,631.1,19668.9 ,,15321.4 ,,,,,,,,
497,FOXN2,"forkhead box N2",3344,3,631.7,240.9 ,998.7 ,739.9 ,155.3 ,1071.2 ,,,3269.4 ,,,
498,84825,"&nbsp;",84825,0,631.9,,,,,,,,,,,
499,XAGE-4,"XAGE-4 protein",139629,0,633.3,14855.6 ,,,,,,,,,,
