GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 12:37:14 GMT 2016

Gene	Score	Description
AKT1	CASP3	2.860626187819535E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	CASP9	8.863605524908473E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	CHUK	4.4575270842550624E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	FAM129A	0.014577097542208031	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	HBB	0.0030963438038653372	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	IKBKB	3.873915524858038E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	IL1R1	0.0015180068685343934	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	IRAK1	6.194293044924079E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	IRAK2	0.0016031587090365434	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	PIK3R1	3.012429722778433E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	PPP3CA	9.00721030713804E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
AKT1	XIAP	4.75519736096705E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
ATM	BID	0.0017637887463854073	Physical interactions	IREF-SMALL-SCALE-STUDIES
ATM	HNRNPUL1	0.0033553975615420607	Physical interactions	IREF-SMALL-SCALE-STUDIES
ATM	IKBKB	6.882078435720482E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
BAX	BAD	0.003665027645469164	Physical interactions	IREF-SMALL-SCALE-STUDIES
BAX	BID	0.0030361251339580844	Physical interactions	IREF-SMALL-SCALE-STUDIES
BAX	CASP8	0.0011773600413102132	Physical interactions	IREF-SMALL-SCALE-STUDIES
BAX	CASP9	0.0027105225246770357	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	BAD	0.002190715866544423	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	BAX	0.001228907056335922	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	BCL2L1	0.0010619639453637343	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	BID	0.0018147988011873112	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	CAPN2	0.0026815748862539473	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	CASP3	5.2289262414006E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	CASP8	7.03749507920922E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	CYCS	0.0019034055977420865	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	PPP3CA	0.0016464242499081442	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	PPP3CC	0.015925198200837896	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2	PPP3R1	0.0029541405228136895	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2L1	APAF1	0.003957111066847482	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2L1	BAD	0.003167145178255872	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2L1	BAX	0.001776646241447525	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2L1	BID	0.002623677082078695	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2L1	CASP9	0.0023423066198360676	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2L1	CFLAR	0.0029962201631185954	Physical interactions	IREF-SMALL-SCALE-STUDIES
BCL2L1	CYCS	0.002751777089243408	Physical interactions	IREF-SMALL-SCALE-STUDIES
BGN	TNF	0.00464722043393475	Physical interactions	IREF-SMALL-SCALE-STUDIES
BID	CASP10	0.004663468826977898	Physical interactions	IREF-SMALL-SCALE-STUDIES
BID	FADD	0.0032254973184351185	Physical interactions	IREF-SMALL-SCALE-STUDIES
BID	TNFRSF10B	0.0064267373323933915	Physical interactions	IREF-SMALL-SCALE-STUDIES
BIRC2	BIRC3	0.0017280569790811102	Physical interactions	IREF-SMALL-SCALE-STUDIES
BIRC2	CASP9	0.002200664017019559	Physical interactions	IREF-SMALL-SCALE-STUDIES
BIRC2	RIPK1	0.001568404726469982	Physical interactions	IREF-SMALL-SCALE-STUDIES
BIRC2	TNF	0.0021885501399357375	Physical interactions	IREF-SMALL-SCALE-STUDIES
BIRC2	TRADD	0.0024863554343433924	Physical interactions	IREF-SMALL-SCALE-STUDIES
BIRC3	CASP9	0.0028060798650122155	Physical interactions	IREF-SMALL-SCALE-STUDIES
CAPN1	BAX	0.001809110366665756	Physical interactions	IREF-SMALL-SCALE-STUDIES
CAPN1	BID	0.0026716187649717233	Physical interactions	IREF-SMALL-SCALE-STUDIES
CAPN1	CREG1	0.013097986365366895	Physical interactions	IREF-SMALL-SCALE-STUDIES
CAPN1	IL1A	0.005080652315907049	Physical interactions	IREF-SMALL-SCALE-STUDIES
CAPN1	NFKBIA	0.0013743111024580713	Physical interactions	IREF-SMALL-SCALE-STUDIES
CAPN2	BID	0.006625071231365988	Physical interactions	IREF-SMALL-SCALE-STUDIES
CAPN2	CASP9	0.005914579149686173	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP10	CFLAR	0.0053256473195705725	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP10	TNFRSF10A	0.00701534605320705	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP10	TNFRSF10B	0.006684524898202757	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	AIFM1	0.002263589067547952	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	AKT2	0.0011547490973168187	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	AKT3	0.002618942617078578	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	APAF1	0.001948412662757368	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	BAX	8.747897595435933E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	BID	0.001291853005931679	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	BIRC2	7.102388627473362E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	BIRC3	9.056297842152394E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	CASP10	0.0013436715144231894	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	CASP6	0.0011290008630947298	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	CASP7	7.268817135363576E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	CASP8	5.009596361714533E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	CASP9	0.0011533109498672901	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	CFLAR	0.0014752866475135431	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	DFFA	0.004249555313053961	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	NFKBIA	6.645439268008898E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP3	TNFSF10	0.002427130199173158	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP6	CASP10	0.00407558797693829	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP6	CFLAR	0.004474799823213935	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP6	IRAK3	0.016246092784869166	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	BAX	0.0017083243712910268	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	BIRC2	0.0013869827416280974	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	BIRC3	0.0017685500399557221	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	CASP10	0.0026239753069097296	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	CASP6	0.002204757901303732	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	CASP8	9.782938973401656E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	CASP9	0.0022522316394977386	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	CFLAR	0.002880998647288329	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	DFFA	0.008298701206733683	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	RNF7	0.0023899279151661595	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP7	TNFRSF1A	0.0012212795771828569	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	APAF1	0.002622325349842592	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	BID	0.0017386762326310383	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	BIRC2	9.558946657594154E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	CASP10	0.0018084176840888493	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	CASP6	0.0015194972150498493	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	CASP9	0.0015522155312502038	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	CFLAR	0.0019855554573261027	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	FADD	0.0012507954758283132	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	FAS	0.0012902766330226553	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	FASLG	8.224402203311112E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	RIPK1	0.0011062579147595672	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	SPARC	0.0023019125136152997	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	TNFRSF10A	0.0026155239184777047	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	TNFRSF10B	0.00249218442724359	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	TNFSF10	0.003266620267479582	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP8	TRADD	0.0017537249220025359	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP9	APAF1	0.006037126226049821	Physical interactions	IREF-SMALL-SCALE-STUDIES
CASP9	CASP10	0.004163345007693554	Physical interactions	IREF-SMALL-SCALE-STUDIES
CFLAR	TNFRSF10A	0.007702512831609484	Physical interactions	IREF-SMALL-SCALE-STUDIES
CFLAR	TNFRSF10B	0.007339286652005366	Physical interactions	IREF-SMALL-SCALE-STUDIES
CFLAR	TNFSF10	0.009619940634298125	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	AKT2	0.0017993702348146135	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	BCL2	8.1478941198657E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	BID	0.0020130102219046582	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	BIRC3	0.001411183861635472	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	CASP8	7.806126324991099E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	IKBKB	7.854508637988129E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	IRAK1	0.0012559160389473576	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	NFKB1	7.187040542843175E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	NFKBIA	0.0010355153493725442	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	RIPK1	0.001280806925382705	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	TAB2	0.0015838508869412513	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	TNF	0.0017872367223279665	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	TNFRSF1A	9.744988211168137E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHUK	TRADD	0.0020304336285584795	Physical interactions	IREF-SMALL-SCALE-STUDIES
COL4A1	DCN	0.004482946765697198	Physical interactions	IREF-SMALL-SCALE-STUDIES
CSF2RB	IL3	0.018845880774876474	Physical interactions	IREF-SMALL-SCALE-STUDIES
CSF2RB	IL3RA	0.018462798342767452	Physical interactions	IREF-SMALL-SCALE-STUDIES
CSF2RB	PIK3CA	0.0047996164331521735	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	AKT1	1.8748388083698439E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	AKT2	7.568163711688076E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	CASP3	2.4394951566802397E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	CASP6	7.399410547072247E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	CASP8	3.2832621948214403E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	CDH11	0.009837367143574647	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	CHUK	3.8013060895256335E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	DDX5	7.949435604128636E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	IKBKB	3.30361156811117E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	NFKB1	3.0228743962121496E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	PIK3R1	2.568950541267224E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	PTPN13	0.0010295545465405073	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	RELA	2.2639925653555217E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	RPLP2	0.004669399107451088	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	RPSA	0.001223903236379222	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	SERBP1	0.0015495624189496003	Physical interactions	IREF-SMALL-SCALE-STUDIES
CTNNB1	TCF4	6.384998978718786E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
CYCS	APAF1	0.00709250735401379	Physical interactions	IREF-SMALL-SCALE-STUDIES
CYCS	BAX	0.003184362899204847	Physical interactions	IREF-SMALL-SCALE-STUDIES
CYCS	CASP9	0.004198220593670683	Physical interactions	IREF-SMALL-SCALE-STUDIES
CYCS	RNF7	0.0044548906912083505	Physical interactions	IREF-SMALL-SCALE-STUDIES
DDX5	AKT1	9.321749047361613E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
DDX5	OTUB1	0.004746137761072255	Physical interactions	IREF-SMALL-SCALE-STUDIES
DFFA	DFFB	0.06371405000522765	Physical interactions	IREF-SMALL-SCALE-STUDIES
FADD	CASP10	0.003354877709392005	Physical interactions	IREF-SMALL-SCALE-STUDIES
FADD	CFLAR	0.003683494255801819	Physical interactions	IREF-SMALL-SCALE-STUDIES
FADD	PTPN13	0.003922203597642002	Physical interactions	IREF-SMALL-SCALE-STUDIES
FADD	TNFRSF10A	0.00485217749036737	Physical interactions	IREF-SMALL-SCALE-STUDIES
FADD	TNFRSF10B	0.004623364780371148	Physical interactions	IREF-SMALL-SCALE-STUDIES
FADD	TNFSF10	0.006060056099531684	Physical interactions	IREF-SMALL-SCALE-STUDIES
FADD	TRADD	0.003253415167464472	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	APAF1	0.005018351321250639	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	BID	0.003327309603824862	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	CASP10	0.003460773575339685	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	CFLAR	0.003799763446739285	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	FADD	0.002393650670895936	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	PTPN13	0.0040460069509666305	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	TNFRSF10B	0.004769300148829162	Physical interactions	IREF-SMALL-SCALE-STUDIES
FAS	TRADD	0.0033561083242423613	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	BID	0.0021208735163334783	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	CASP10	0.0022059453571498587	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	CFLAR	0.002422021883879638	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	DMD	0.002096809844145883	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	FADD	0.0015257463278065433	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	FAS	0.0015739061386398716	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	PIK3CA	0.001900699800350733	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	PTPN13	0.0025789812673596892	Physical interactions	IREF-SMALL-SCALE-STUDIES
FASLG	TNFRSF10B	0.0030400181927856353	Physical interactions	IREF-SMALL-SCALE-STUDIES
FBN1	DCN	0.004812421826353328	Physical interactions	IREF-SMALL-SCALE-STUDIES
FBXW7	CREB3L2	0.00954273345274815	Physical interactions	IREF-SMALL-SCALE-STUDIES
FBXW7	JAG1	0.004352442490940959	Physical interactions	IREF-SMALL-SCALE-STUDIES
HSP90AB1	ACTN1	0.0011789991114213283	Physical interactions	IREF-SMALL-SCALE-STUDIES
HSP90AB1	AKT1	4.343128019629288E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
HSP90AB1	CTNNB1	3.7037480280089784E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
HSP90AB1	RPSA	0.002835213164917466	Physical interactions	IREF-SMALL-SCALE-STUDIES
HSP90AB1	STAT3	7.527779909193543E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
HSP90AB1	TP53	2.494168574978621E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	BCL2	7.081113376896931E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	BID	0.0017494523749936426	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	BIRC3	0.001226421622599052	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	CASP8	6.78409242934769E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	CFLAR	0.00199786199464953	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	CSF2RB	0.0020896849146591952	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	IRAK1	0.0010914826629531606	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	NFKBIA	8.999383363397855E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	RIPK1	0.0011131145585442808	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	TAB2	0.0013764818837249096	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	TNF	0.0015532388079113183	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKB	TNFRSF1A	8.469105008851398E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	ANXA1	0.0031494105213057755	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	ATM	7.627826660813378E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	BCL2	7.84842895348453E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	BID	0.0019390248016975123	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	BIRC2	0.0010660429572883416	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	BIRC3	0.0013593178199163294	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	CASP8	7.519223442194913E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	CHUK	8.70563093277936E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	FADD	0.0013949252620710528	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	IKBKB	7.565827390366724E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	IL1B	0.0025113254456198292	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	IRAK1	0.001209756706283093	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	IRAK4	0.002413078638327329	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	MYD88	0.0014735587320648903	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	NFKBIA	9.974565924234843E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	NSFL1C	0.005148544540120532	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	PPP2CA	8.209751471064208E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	RIPK1	0.0012337326995927247	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	TNF	0.0017215493011188908	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	TNFRSF1A	9.386824854934162E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IKBKG	TRAF2	6.557030866786632E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
IL1A	IL1R1	0.013036793118485735	Physical interactions	IREF-SMALL-SCALE-STUDIES
IL1A	IL1RAP	0.014523754568258529	Physical interactions	IREF-SMALL-SCALE-STUDIES
IL1B	IL1RAP	0.009891303456627353	Physical interactions	IREF-SMALL-SCALE-STUDIES
IL1R1	IL1B	0.008878618248443111	Physical interactions	IREF-SMALL-SCALE-STUDIES
IL1R1	IL1RAP	0.01167698042809522	Physical interactions	IREF-SMALL-SCALE-STUDIES
IL3RA	IL3	0.05439106431630788	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	FADD	0.002012386360442605	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	IL1R1	0.004277011438502019	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	IL1RAP	0.004764842717977822	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	IRAK2	0.004516928454820941	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	IRAK3	0.01159798156463989	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	IRAK4	0.0034812231669477966	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	MYD88	0.002125826692503683	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	NFKBIA	0.001438978551974825	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK1	TAB2	0.002200959714521517	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK2	IL1R1	0.011069428403803084	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK2	IL1RAP	0.012331994914805487	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK2	IRAK3	0.03001699568084526	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK2	IRAK4	0.00900983017534079	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK2	MYD88	0.0055018989723515975	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK4	IL1R1	0.008531273027116397	Physical interactions	IREF-SMALL-SCALE-STUDIES
IRAK4	MYD88	0.004240345725898967	Physical interactions	IREF-SMALL-SCALE-STUDIES
MYD88	FADD	0.0024512113682543606	Physical interactions	IREF-SMALL-SCALE-STUDIES
MYD88	IL1R1	0.005209665466508117	Physical interactions	IREF-SMALL-SCALE-STUDIES
MYD88	IL1RAP	0.00580387435973558	Physical interactions	IREF-SMALL-SCALE-STUDIES
MYD88	IRAK3	0.01412706188584243	Physical interactions	IREF-SMALL-SCALE-STUDIES
NACA	FADD	0.008161506897501851	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	BIRC3	0.001122201570239061	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	CFLAR	0.0018280857477825155	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	IKBKB	6.246061978883702E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	IL1B	0.002073255525972179	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	NFKBIA	8.234625249425808E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	RIPK1	0.0010185232411461349	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	TAB2	0.001259509803689265	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKB1	ZFP36	0.0022164685721948775	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKBIA	PTPN13	0.002804614208557738	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKBIA	RNF7	0.002184966387305172	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKBIA	TNF	0.002047744471863429	Physical interactions	IREF-SMALL-SCALE-STUDIES
NFKBIA	UBE2L3	0.0017562427249925789	Physical interactions	IREF-SMALL-SCALE-STUDIES
NTRK1	NGF	0.009723214299123909	Physical interactions	IREF-SMALL-SCALE-STUDIES
OTUB1	BIRC2	0.0027791455358135027	Physical interactions	IREF-SMALL-SCALE-STUDIES
OTUB1	BIRC3	0.0035437053516580042	Physical interactions	IREF-SMALL-SCALE-STUDIES
PABPC1	ZFP36	0.003628184631010895	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3CA	IL3	0.01413958188526786	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3CD	IL3	0.035281380154780106	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3CG	PIK3CD	0.01046978808598016	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3CG	PIK3R5	0.0741351562897152	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	CASP8	5.275437844856152E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	FASLG	6.435088696916964E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	IL1R1	0.0020800104933640434	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	IL1RAP	0.0023172543731596784	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	MYD88	0.0010338391469649963	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	NFKBIA	6.998089158657388E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	NTRK1	0.0012449004807572315	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	PIK3CA	0.0012191795611301624	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	PIK3CB	0.002851672492733543	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	PIK3CD	0.003042122485856767	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R1	TNFRSF1A	6.58573500677369E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R2	PIK3CA	0.004027864616395491	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R2	PIK3CB	0.009421213249629301	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R2	PIK3CD	0.010050412430691984	Physical interactions	IREF-SMALL-SCALE-STUDIES
PIK3R3	PIK3CA	0.010325988505001769	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	AKT1	4.2036228567767994E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	AKT3	0.0038484744097212332	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	BCL2	7.68378367066776E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	CHUK	8.523003217558026E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	IKBKB	7.407110152308959E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	IRAK1	0.0011843781425409335	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	PABPC1	0.0011094497369733365	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP2CA	RELA	5.076154058970627E-4	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP3CA	CASP3	0.0011719965629849254	Physical interactions	IREF-SMALL-SCALE-STUDIES
PPP3CA	PPP3R1	0.00662132611849438	Physical interactions	IREF-SMALL-SCALE-STUDIES
